昆明机场飞行动态,,,,,
,,,,,2017年07月02日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
1,3U8033,B6843,昆明/0655,/,丽江
2,3U8034,B6843,丽江/0855,/,昆明
3,3U8107,B6719,昆明/1405,/,常州
4,3U8108,B6719,常州/2235,/,昆明
5,3U8129,B6448,昆明/0925,/,版纳
6,3U8130,B6448,版纳/1115,/,昆明
7,3U8201,B8326,昆明/1610,/,上海
8,3U8202,B8326,上海/2025,/,昆明
9,3U8205,B6843,昆明/1700,/,广州
10,3U8221,B8500,昆明/1155,/,南宁
11,3U8222,B8500,南宁/1935,/,昆明
12,3U8227,B6322,昆明/1120,/,南京
13,3U8228,B6322,南京/2255,/,昆明
14,3U8513,B6772,昆明/0715,/,重庆
15,3U8514,B6772,重庆/1545,/,昆明
16,3U8527,B6732,昆明/2320,/,西安
17,3U8528,B1822,西安/1950,/,昆明
18,3U8529,B1821,杭州/0900,/,昆明
19,3U8530,B1821,昆明/1305,/,杭州
20,3U8553,B6778,昆明/0845,/,重庆
21,3U8554,B6778,重庆/2235,/,昆明
22,3U8638,B8329,广州/0615,/,昆明
23,3U8661,B6322,成都/0720,/,昆明
24,3U8662,B1665,昆明/2300,/,成都
25,3U8667,B6772,成都/2125,/,昆明
26,3U8668,B6772,昆明/1820,/,成都
27,3U8669,B1819,昆明/0730,/,成都
28,3U8670,B1819,成都/1710,/,昆明
29,3U8767,B6953,昆明/0700,/,南宁
30,3U8768,B6953,南宁/1440,/,昆明
31,3U8817,B6449,昆明/0730,/,丽江
32,3U8818,B6449,丽江/1510,/,昆明
33,3U8823,B6953,昆明/1945,/,南昌
34,3U8824,B6953,南昌/2300,/,昆明
35,3U8837,B6388,昆明/1415,/,万州
36,3U8838,B6388,万州/1140,/,昆明
37,3U8847,B6732,昆明/0750,/,郑州
38,3U8848,B6732,郑州/1905,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
39,3U8853,B9967,昆明/1615,/,徐州
40,3U8854,B9967,徐州/1205,/,昆明
41,3U8901,B8329,昆明/1710,/,珠海
42,3U8902,B8329,珠海/2100,/,昆明
43,3U8917,B6719,昆明/0625,/,厦门
44,3U8918,B6719,厦门/1005,/,昆明
45,3U8929,B1665,昆明/0805,/,长沙
46,3U8930,B1665,长沙/1855,/,昆明
47,3U8947,B8326,昆明/0655,/,济南
48,3U8948,B8326,济南/1050,/,昆明
49,3U8967,B6956,昆明/1310,/,重庆
50,3U8968,B6956,重庆/2355,/,昆明
51,8L9519,B5268,昆明/1135,/,芒市
52,8L9520,B5268,芒市/1315,/,昆明
53,8L9555,B6016,昆明/2310,/,海口
54,8L9556,B1798,海口/0700,/,昆明
55,8L9583,B6800,昆明/0025,/,马尼拉
56,8L9595,B8445,昆明/0900,/,吉隆坡
57,8L9596,B8445,吉隆坡/1335,/,昆明
58,8L9633,B7167,昆明/1340,/,沙巴
59,8L9634,B7167,沙巴/1910,/,昆明
60,8L9639,B8446,昆明/0930,/,甲米
61,8L9640,B8446,甲米/1330,/,昆明
62,8L9647,B1825,昆明/0710,/,淮安
63,8L9648,B1825,淮安/1515,/,昆明
64,8L9651,B1798,昆明/0950,/,郑州
65,8L9652,B7988,郑州/0705,/,昆明
66,8L9655,B5409,昆明/0610,/,忻州
67,8L9656,B5409,忻州/1735,/,昆明
68,8L9675,B8446,昆明/1755,/,富国岛
69,8L9676,B8446,富国岛/2200,/,昆明
70,8L9709,B7993,昆明/0640,/,连城
71,8L9710,B7993,连城/1435,/,昆明
72,8L9801,B1563,昆明/2310,/,丽江
73,8L9802,B5823,丽江/0715,/,昆明
74,8L9803,B5249,昆明/0715,/,丽江
75,8L9804,B5292,丽江/2100,/,昆明
76,8L9841,B5248,昆明/0845,/,普洱
77,8L9842,B5248,普洱/1100,/,昆明
78,8L9845,B6016,昆明/0915,/,赣州
79,8L9846,B6016,赣州/1815,/,昆明
80,8L9849,B1563,昆明/0705,/,迪庆
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
81,8L9850,B1563,迪庆/0850,/,昆明
82,8L9851,B5825,昆明/1555,/,腾冲
83,8L9855,B5407,昆明/1550,/,绵阳
84,8L9856,B1586,绵阳/0705,/,昆明
85,8L9861,B7989,昆明/0715,/,合肥
86,8L9862,B7989,合肥/1040,/,昆明
87,8L9863,B5359,昆明/0700,/,重庆
88,8L9864,B5359,重庆/1555,/,昆明
89,8L9865,B2677,昆明/0710,/,济南
90,8L9866,B2677,济南/1130,/,昆明
91,8L9869,B6015,昆明/1420,/,武汉
92,8L9870,B6015,武汉/2325,/,昆明
93,8L9871,B6198,昆明/1350,/,宜昌
94,8L9872,B6198,宜昌/2230,/,昆明
95,8L9873,B5732,昆明/0700,/,赣州
96,8L9874,B5732,赣州/1425,/,昆明
97,8L9875,B6959,昆明/1755,/,厦门
98,8L9876,B6959,厦门/2150,/,昆明
99,8L9883,B6809,昆明/1755,/,南京
100,8L9884,B6809,南京/2150,/,昆明
101,8L9887,B1588,昆明/0830,/,宜春
102,8L9888,B1588,宜春/1740,/,昆明
103,8L9889,B5971,昆明/1655,/,上海
104,8L9890,B5971,上海/2135,/,昆明
105,8L9891,B5449,昆明/0950,/,武汉
