昆明机场飞行动态,,,,,
,,,,,2017年06月18日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
1,3U8201,B8948,昆明/1610,/,上海
2,3U8202,B8948,上海/2025,/,昆明
3,3U8205,B6956,昆明/1700,/,广州
4,3U8215,B1661,昆明/1320,/,郑州
5,3U8216,B1661,郑州/1705,/,昆明
6,3U8221,B8331,昆明/1155,/,南宁
7,3U8222,B8331,南宁/1935,/,昆明
8,3U8513,B1887,昆明/0715,/,重庆
9,3U8514,B1887,重庆/1545,/,昆明
10,3U8528,B8657,西安/1950,/,昆明
11,3U8529,B6323,杭州/0900,/,昆明
12,3U8530,B6323,昆明/1305,/,杭州
13,3U8553,B6955,昆明/0845,/,重庆
14,3U8554,B6955,重庆/2235,/,昆明
15,3U8619,B6054,昆明/2100,/,版纳
16,3U8620,B6448,版纳/2020,/,昆明
17,3U8638,B6956,广州/0615,/,昆明
18,3U8661,B2373,成都/0720,/,昆明
19,3U8662,B2373,昆明/2300,/,成都
20,3U8667,B1887,成都/2125,/,昆明
21,3U8668,B1887,昆明/1820,/,成都
22,3U8669,B6348,昆明/0730,/,成都
23,3U8670,B6348,成都/1710,/,昆明
24,3U8723,B8331,北京/0720,/,昆明
25,3U8724,B8331,昆明/2150,/,北京
26,3U8761,B1885,昆明/1510,/,无锡
27,3U8762,B1885,无锡/1925,/,昆明
28,3U8767,B6953,昆明/0700,/,南宁
29,3U8768,B6953,南宁/1440,/,昆明
30,3U8817,B6054,昆明/0730,/,丽江
31,3U8818,B6054,丽江/1510,/,昆明
32,3U8823,B6348,昆明/1945,/,南昌
33,3U8824,B6348,南昌/2300,/,昆明
34,3U8837,B6697,昆明/1415,/,万州
35,3U8838,B6697,万州/1140,/,昆明
36,3U8853,B1891,昆明/1615,/,徐州
37,3U8854,B1891,徐州/1205,/,昆明
38,3U8865,B8948,昆明/0720,/,宁波
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
39,3U8866,B8948,宁波/1110,/,昆明
40,3U8901,B6953,昆明/1710,/,珠海
41,3U8902,B6953,珠海/2100,/,昆明
42,3U8917,B8329,昆明/0625,/,厦门
43,3U8918,B8329,厦门/1005,/,昆明
44,3U8929,B6778,昆明/0805,/,长沙
45,3U8930,B6778,长沙/1855,/,昆明
46,3U8947,B1885,昆明/0655,/,济南
47,3U8948,B1885,济南/1050,/,昆明
48,3U8968,B6445,重庆/2355,/,昆明
49,8L9519,B5810,昆明/1320,/,芒市
50,8L9520,B5810,芒市/1455,/,昆明
51,8L9555,B1825,昆明/2310,/,海口
52,8L9583,B8445,昆明/0025,/,马尼拉
53,8L9595,B8446,昆明/0900,/,吉隆坡
54,8L9596,B8446,吉隆坡/1335,/,昆明
55,8L9623,B1798,昆明/1045,/,杭州
56,8L9624,B1798,杭州/1445,/,昆明
57,8L9639,B5407,昆明/0930,/,甲米
58,8L9640,B5407,甲米/1330,/,昆明
59,8L9643,B6198,昆明/0705,/,芒市
60,8L9644,B6198,芒市/0855,/,昆明
61,8L9647,B8445,昆明/0710,/,淮安
62,8L9648,B8445,淮安/1540,/,昆明
