FLT,RFC,VI1,LKF,ITY,REG,VIP,TAR,TOF,FSA,OPE,POP,RCP,NAT,SDT,FLX,MFF,SST,HDL,STD,DES
3U8129,昆明-版纳,,3U8216,A319,B6445,,532,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 9:25,JHG
3U8201,昆明-上海,,3U8866,A320,B8948,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 16:10,PVG
3U8205,昆明-广州,,3U8638,A320,B6956,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 17:00,CAN
3U8215,昆明-郑州,,3U8762,A320,B1661,,533,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 13:20,CGO
3U8221,昆明-南宁-福州,NNG,3U8723,A320,B8331,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 11:55,FOC
3U8513,昆明-重庆-兰州,CKG,3U8667,A320,B1887,,151,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 7:15,ZGC
3U8527,昆明-西安,,3U8848,A320,B6732,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 23:20,XIY
3U8530,昆明-杭州,,3U8529,A320,B6323,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 13:05,HGH
3U8553,昆明-重庆-乌鲁,CKG,3U8108,A320,B6955,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 8:45,URC
3U8619,昆明-版纳,,3U8818,A319,B6054,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 21:00,JHG
3U8662,昆明-成都,,3U8930,A320,B6778,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 23:00,CTU
3U8668,昆明-成都,,3U8514,A320,B1887,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 18:20,CTU
3U8669,昆明-成都-石家庄,CTU,3U8528,A320,B6348,,150,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 7:30,SJW
3U8724,昆明-北京,,3U8222,A320,B8331,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 21:50,PEK
3U8761,昆明-无锡,,3U8948,A320,B1885,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 15:10,WUX
3U8767,昆明-南宁-温州,NNG,3U8768,A320,B6953,,317,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 7:00,WNZ
3U8817,昆明-丽江-拉萨,LJG,3U8620,A319,B6054,,713,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 7:30,LXA
3U8823,昆明-南昌,,3U8670,A320,B6348,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 19:45,KHN
3U8837,昆明-万州-北京,WXN,3U8838,A320,B6697,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 14:15,PEK
3U8847,昆明-郑州-哈尔滨,CGO,3U8222,A320,B6732,,534,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 7:50,HRB
3U8853,昆明-徐州-哈尔滨,XUZ,3U8854,A321,B1891,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 16:15,HRB
3U8865,昆明-宁波,,3U8554,A320,B8948,,318,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 7:20,NGB
3U8901,昆明-珠海,,3U8768,A320,B6953,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 17:10,ZUH
3U8917,昆明-厦门,,3U8824,A320,B8329,,315,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 6:25,XMN
3U8929,昆明-长沙-沈阳,HHA,3U8244,A320,B6778,,535,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 8:05,SHE
3U8947,昆明-济南,,3U8968,A320,B1885,,149,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 6:55,TNA
3U8967,昆明-重庆-大连,CKG,3U8130,A319,B6445,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 13:10,DLC
8L9519,昆明-芒市,,8L9894,B737,B5810,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 13:20,LUM
8L9555,昆明-海口,,8L9903,A320,B1825,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 23:10,HAK
8L9583,昆明-马尼拉,,8L9648,A320,B8445,,,I,33-计划,REG,REG,,PAX,2017/6/19,,,0,YAG,2017/6/19 0:25,MNL
8L9595,昆明-吉隆坡,,8L9972,A320,B8446,,109,I,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 9:00,KUL
8L9623,昆明-杭州,,8L9890,B738,B1798,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 10:45,HGH
8L9639,昆明-甲米,,8L9874,B738,B5449,,717,I,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 9:30,KBV
8L9643,昆明-芒市,,8L9936,A319,B6198,,165,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 7:05,LUM
8L9647,昆明-淮安-天津,HIA,8L9748,A320,B8445,,103,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 7:10,TSN
8L9651,昆明-郑州,,8L9956,B738,B1588,,522R,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 9:50,CGO
8L9655,昆明-忻州-哈尔滨,WUT,8L9974,B738,B7990,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 6:10,HRB
8L9709,昆明-连城-南京,LCX,8L9872,B738,B6809,,158,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 6:40,NKG
8L9801,昆明-丽江,,8L9913,B737,B5810,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 23:10,LJG
8L9805,昆明-丽江,,8L9806,A320,B8732,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 14:00,LJG
8L9841,昆明-普洱,,8L9802,B737,B1565,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,2017/6/18 9:25,SYM
