FLT,RFC,STA,VI1,LKF,ITY,REG,VIP,TAR,TOF,FSA,OPE,POP,RCP,NAT,SDT,FLX,MFF,SST,HDL,ORG,ETA,TDT,ATA,ABP,CAR,STP
3U8130,版纳-昆明,12:20,,3U8967,A319,B6445,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,JHG,,,,,,2017/6/18 11:15
3U8202,上海-昆明,23:45,,,A320,B8948,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,PVG,,,,,,2017/6/18 20:25
3U8216,郑州-昆明,20:00,,,A320,B1661,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,CGO,,,,,,2017/6/18 17:05
3U8222,福州-南宁-昆明,20:50,NNG,3U8724,A320,B8331,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,FOC,,,,,,2017/6/18 19:35
3U8514,兰州-重庆-昆明,17:20,CKG,3U8668,A320,B1887,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,ZGC,,,,,,2017/6/18 15:45
3U8528,西安-昆明,22:15,,,A320,B8657,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,XIY,,,,,,2017/6/18 19:50
3U8529,杭州-昆明,12:05,,3U8530,A320,B6323,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,HGH,,,,,,2017/6/18 9:00
3U8554,乌鲁-重庆-昆明,0:10,CKG,,A320,B6955,,,D,33-计划,REG,REG,,PAX,2017/6/19,,,0,YAG,URC,,,,,,2017/6/18 22:35
3U8620,版纳-昆明,21:25,,,A319,B6448,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,JHG,,,,,,2017/6/18 20:20
3U8638,岘港-广州-昆明,8:45,CAN,3U8205,A320,B6956,,,M,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,DAD,,,,,,2017/6/18 6:15
3U8661,成都-昆明,9:00,,,A320,B6719,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,CTU,,,,,,2017/6/18 7:20
3U8667,成都-昆明,23:05,,,A320,B1887,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,CTU,,,,,,2017/6/18 21:25
3U8670,石家庄-成都-昆明,18:45,CTU,3U8823,A320,B6348,Y,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,SJW,,,,,,2017/6/18 17:10
3U8723,北京-昆明,10:55,,3U8221,A320,B8331,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,PEK,,,,,,2017/6/18 7:20
3U8762,无锡-昆明,22:35,,,A320,B1885,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,WUX,,,,,,2017/6/18 19:25
3U8768,温州-南宁-昆明,16:05,NNG,3U8901,A320,B6953,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,WNZ,,,,,,2017/6/18 14:40
3U8818,拉萨-丽江-昆明,16:20,LJG,3U8619,A319,B6054,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,LXA,,,,,,2017/6/18 15:10
3U8824,南昌-昆明,1:20,,,A320,B6348,,,D,33-计划,REG,REG,,PAX,2017/6/19,,,0,YAG,KHN,,,,,,2017/6/18 23:00
3U8838,北京-万州-昆明,13:15,WXN,3U8837,A320,B6697,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,PEK,,,,,,2017/6/18 11:40
3U8848,哈尔滨-郑州-昆明,21:50,CGO,3U8527,A320,B6732,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,HRB,,,,,,2017/6/18 19:05
3U8854,哈尔滨-徐州-昆明,15:00,XUZ,3U8853,A321,B1891,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,HRB,,,,,,2017/6/18 12:05
3U8866,宁波-昆明,14:15,,3U8201,A320,B8948,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,NGB,,,,,,2017/6/18 11:10
3U8902,珠海-昆明,23:00,,,A320,B6953,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,ZUH,,,,,,2017/6/18 21:00
3U8918,厦门-昆明,12:50,,,A320,B8329,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,XMN,,,,,,2017/6/18 10:05
3U8930,沈阳-长沙-昆明,21:10,HHA,3U8662,A320,B6778,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,SHE,,,,,,2017/6/18 18:55
3U8948,济南-昆明,13:55,,3U8761,A320,B1885,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,TNA,,,,,,2017/6/18 10:50
3U8968,大连-重庆-昆明,1:30,CKG,,A319,B6445,,,D,33-计划,REG,REG,,PAX,2017/6/19,,,0,YAG,DLC,,,,,,2017/6/18 23:55
8L9520,芒市-昆明,15:55,,8L9914,B737,B5810,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,LUM,,,,,,2017/6/18 14:55
8L9596,吉隆坡-昆明,17:15,,8L9987,A320,B8446,,,I,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,KUL,,,,,,2017/6/18 13:35
8L9624,杭州-昆明,17:55,,,B738,B1798,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,HGH,,,,,,2017/6/18 14:45
8L9640,甲米-昆明,16:25,,,B738,B5449,,,I,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,KBV,,,,,,2017/6/18 13:30
8L9644,芒市-昆明,9:55,,8L9857,A319,B6198,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,LUM,,,,,,2017/6/18 8:55
8L9648,天津-淮安-昆明,18:50,HIA,8L9583,A320,B8445,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,TSN,,,,,,2017/6/18 15:40
8L9652,郑州-昆明,9:45,,8L9985,B738,B6800,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,CGO,,,,,,2017/6/18 7:05
8L9656,哈尔滨-忻州-昆明,20:30,WUT,8L9993,B738,B7990,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,HRB,,,,,,2017/6/18 17:35
8L9710,南京-连城-昆明,16:55,LCX,8L9955,B738,B6809,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,NKG,,,,,,2017/6/18 14:35
8L9802,丽江-昆明,8:15,,8L9841,B737,B1565,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,LJG,,,,,,2017/6/18 7:15
8L9806,丽江-昆明,12:30,,8L9805,A320,B8732,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,LJG,,,,,,2017/6/18 11:30
8L9842,普洱-昆明,12:15,,,B737,B1565,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,SYM,,,,,,2017/6/18 11:05
8L9850,迪庆-昆明,10:10,,8L9921,B737,B5825,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,DIG,,,,,,2017/6/18 9:05
8L9852,腾冲-昆明,13:50,,8L9906,B737,B5249,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,TCZ,,,,,,2017/6/18 12:45
8L9856,绵阳-昆明,9:15,,8L9991,B738,B7988,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,MIG,,,,,,2017/6/18 7:40
8L9858,腾冲-昆明,15:55,,8L9875,A319,B6198,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,TCZ,,,,,,2017/6/18 14:55
8L9862,合肥-昆明,15:20,,8L9897,B738,B5359,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,HFE,,,,,,2017/6/18 12:35
8L9864,徐州-重庆-昆明,17:30,CKG,8L9983,B738,B2677,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,XUZ,,,,,,2017/6/18 15:55
8L9866,济南-昆明,14:40,,8L9883,B738,B7989,,,D,33-计划,REG,REG,,PAX,2017/6/18,,,0,YAG,TNA,,,,,,2017/6/18 11:30
8L9870,青岛-武汉-昆明,1:40,WUH,,B737,B5292,,,D,33-计划,REG,REG,,PAX,2017/6/19,,,0,YAG,TAO,,,,,,2017/6/18 23:25
