FLT,VIP,LKF,REG,RFC,VI1,DES,TOF,ITY,TAR,GAT,CID,MP1,STD,ETD,ATD,ABT,FSA,RCP,SDT,EAN,POP,OPE,NAT,FLX,MFF,SST,STN
8L9655,,8L9884,B7989,昆明-忻州-哈尔滨,WUT,HRB,D,B738,,,,,6:10,,,,33-计划,,2017/6/19,8:52,REG,REG,PAX,,,0,8:30
3U8917,,3U8902,B6953,昆明-厦门,,XMN,D,A320,152,46,,A,6:25,,,,33-计划,,2017/6/19,8:35,REG,REG,PAX,,,0,9:05
DR6591,,DR6592,B1960,昆明-西安,,XIY,D,B738,,,,,6:35,,,,33-计划,,2017/6/19,8:25,REG,REG,PAX,,,0,8:45
SC8843,,SC8844,B7808,昆明-济南-大阪,TNA,KIX,M,B738,,,,,6:50,,,,33-计划,,2017/6/19,9:27,REG,REG,PAX,,,0,9:55
SC1161,,SC1162,B7978,昆明-济南-沈阳,TNA,SHE,D,B738,,,,,6:50,,,,33-计划,,2017/6/19,9:27,REG,REG,PAX,,,0,9:55
8L9941,,8L9876,B6221,昆明-大理,,DLU,D,A319,161,7,,,6:50,,,,33-计划,,2017/6/19,7:33,REG,REG,PAX,,,0,7:40
3U8901,,3U8202,B8948,昆明-珠海,,ZUH,D,A320,150,49,,,6:50,,,,33-计划,,2017/6/19,8:27,REG,REG,PAX,,,0,8:45
QW9856,,QW9855,B8443,昆明-屯溪-青岛,TXN,TAO,D,A320,,,,,6:55,,,,33-计划,,2017/6/19,9:06,REG,REG,PAX,,,0,9:15
SC4860,,SC4859,B7885,昆明-青岛,,TAO,D,B738,,,,,6:55,,,,33-计划,,2017/6/19,10:03,REG,REG,PAX,,,0,10:25
3U8947,,3U8216,B1661,昆明-济南,,TNA,D,A320,524R,,,,6:55,,,,33-计划,,2017/6/19,9:31,REG,REG,PAX,,,0,10:05
KY8261,,KY8282,B1926,昆明-重庆-台州,CKG,HYN,D,B738,147,55,,,7:00,,,,33-计划,,2017/6/19,8:12,REG,REG,PAX,,,0,8:35
DR6521,,DR6560,B1593,昆明-成都,,CTU,D,B738,714,,,,7:00,,,,33-计划,,2017/6/19,8:02,REG,REG,PAX,,,0,8:35
8L9873,,8L9976,B5407,昆明-赣州-杭州,KOW,HGH,D,B738,160,6,,,7:00,,,,33-计划,,2017/6/19,9:01,REG,REG,PAX,,,0,9:10
8L9863,,8L9864,B2677,昆明-重庆-徐州,CKG,XUZ,D,B738,542,,,,7:00,,,,33-计划,,2017/6/19,8:09,REG,REG,PAX,,,0,8:35
3U8767,,3U8762,B1885,昆明-南宁-温州,NNG,WNZ,D,A320,315,,,,7:00,,,,33-计划,,2017/6/19,8:01,REG,REG,PAX,,,0,8:05
MU5921,,MU5717R,B5809,昆明-丽江,,LJG,D,B737,515,,,,7:05,,,,33-计划,,2017/6/19,7:59,REG,REG,PAX,,,0,8:10
MU556,,MU556,B6870,昆明-杭州,,HGH,D,A320,,,,,7:05,,,,33-计划,,2017/6/19,9:35,REG,REG,PAX,,,0,9:55
KY8295,,KY8302,B7873,昆明-重庆-南通,CKG,NTG,D,B738,146,57,,,7:05,,,,33-计划,,2017/6/19,8:19,REG,REG,PAX,,,0,8:40
HO1652,,HO1651,B8236,昆明-南京-哈尔滨,NKG,HRB,D,A320,724,,,,7:05,,,,33-计划,,2017/6/19,9:27,REG,REG,PAX,,,0,9:55
8L9973,,8L9974,B7993,昆明-郑州,,CGO,D,B738,,,,,7:05,,,,33-计划,,2017/6/19,9:21,REG,REG,PAX,,,1,9:45
8L9849,,8L9946,B5805,昆明-迪庆,,DIG,D,B737,,,,,7:05,,,,33-计划,,2017/6/19,8:06,REG,REG,PAX,,,0,8:00
HU7312,,HU7111,B7175,昆明-北京,,PEK,D,B738,543,,,,7:10,,,,33-计划,,2017/6/19,10:07,REG,REG,PAX,,,0,10:35
8L9865,,8L9956,B1587,昆明-济南,,TNA,D,B738,541,,,,7:10,,,,33-计划,,2017/6/19,9:49,REG,REG,PAX,,,0,10:15
8L9647,,8L9972,B6943,昆明-淮安-天津,HIA,TSN,D,A320,719,,,,7:10,,,,33-计划,,2017/6/19,9:49,REG,REG,PAX,,,0,10:00
DR6577,,DR6578,B5812,昆明-榆林-沈阳,UYN,SHE,D,B737,526R,,,,7:15,,,,33-计划,,2017/6/19,9:33,REG,REG,PAX,,,0,10:00
8L9965,,8L9907,B6198,昆明-三亚,,SYX,D,A319,162,8,,,7:15,,,,33-计划,,2017/6/19,8:54,REG,REG,PAX,,,0,9:25
8L9893,,8L9842,B1565,昆明-珠海,,ZUH,D,B737,710,,,,7:15,,,,33-计划,,2017/6/19,8:57,REG,REG,PAX,,,0,9:05
3U8513,,3U8824,B6348,昆明-重庆-兰州,CKG,ZGC,D,A320,153,27,,,7:15,,,,33-计划,,2017/6/19,8:22,REG,REG,PAX,,,0,8:45
KY8315,,KY8232,B7872,昆明-腾冲,,TCZ,D,B737,,,,,7:20,,,,33-计划,,2017/6/19,8:14,REG,REG,PAX,,,0,8:35
DR6569,,DR6522,B1595,昆明-北海,,BHY,D,B738,,,,,7:20,,,,33-计划,,2017/6/19,8:36,REG,REG,PAX,,,0,8:55
DR6533,,DR6562,B7866,昆明-武汉,,WUH,D,B738,,,,,7:20,,,,33-计划,,2017/6/19,9:08,REG,REG,PAX,,,0,9:40
CA4175,,CA4459,B8491,昆明-沈阳,,SHE,D,A320,140,58,,,7:20,,,,33-计划,,2017/6/19,10:59,REG,REG,PAX,,,0,11:20
CA4171,,CA4174,B6828,昆明-北京,,PEK,D,A320,,,,,7:20,,,,33-计划,,2017/6/19,10:18,REG,REG,PAX,,,1,10:45
3U8865,,3U8930,B6778,昆明-宁波,,NGB,D,A320,525L,,,,7:20,,,,33-计划,,2017/6/19,9:48,REG,REG,PAX,,,0,10:25
SC8886,,SC8886,B7087,昆明-乌鲁,,URC,D,B738,,,,,7:25,,,,33-计划,,2017/6/19,11:28,REG,REG,PAX,,,0,11:45
DR5313,,DR6512,B5830,昆明-恩施-天津,ENH,TSN,D,B737,,,,,7:25,,,,33-计划,,2017/6/19,8:54,REG,REG,PAX,,,0,9:10
A67113,,A67114,B8432,昆明-临沂-长春,LYI,CGQ,D,A320,149,51,,,7:25,,,,33-计划,,2017/6/19,10:02,REG,REG,PAX,,,0,10:25
8L9959,,8L9892,B6016,昆明-安庆-宁波,AQG,NGB,D,B738,165,14,,,7:25,,,,33-计划,,2017/6/19,9:41,REG,REG,PAX,,,1,9:45
GJ8662,,GJ8661,B8148,昆明-贵阳-杭州,KWE,HGH,D,A320,,,,,7:30,,,,33-计划,,2017/6/19,8:21,REG,REG,PAX,,,0,8:45
8L9861,,8L9898,B5359,昆明-合肥,,HFE,D,B738,,,,,7:30,,,,33-计划,,2017/6/19,9:37,REG,REG,PAX,,,0,10:15
3U8669,,3U8968,B6956,昆明-成都-石家庄,CTU,SJW,D,A320,151,47,,,7:30,,,,33-计划,,2017/6/19,8:30,REG,REG,PAX,,,0,9:05
MU2766,,MU2785,B8498,昆明-南京-长春,NKG,CGQ,D,A320,,,,,7:35,,,,33-计划,,2017/6/19,9:57,REG,REG,PAX,,,0,10:30
DR6529,,DR6538,B5829,昆明-太原-呼和,TYN,HET,D,B737,158,2,,,7:35,,,,33-计划,,2017/6/19,10:00,REG,REG,PAX,,,0,10:25
CZ3420,,CZ3419,B2408,昆明-广州,,CAN,D,A320,136,50,,,7:35,,,,33-计划,,2017/6/19,9:12,REG,REG,PAX,,,0,9:40
MU5943,,MU5846,B5822,昆明-大理,,DLU,D,B737,125,41,,,7:40,,,,33-计划,,2017/6/19,8:24,REG,REG,PAX,,,0,8:30
