FLT,VIP,LKF,RFC,VI1,DES,TOF,REG,ITY,STD,SDT,EAN,TAR,GAT,CID,MP1,ETD,ABT,ATD,FSA,POP,OPE,RCP,NAT,FLX,MFF,SST
AK100,,AK101,昆明-吉隆坡,,KUL,I,9MAFF,A320,2017/6/24 17:55,2017/6/24,,,,,,,,,33-计划,REG,REG,,PAX,,,0
CA1402,,CA1401,昆明-天津,,TSN,D,B1418,B738,2017/6/24 20:20,2017/6/24,23:11,,,,,,,,33-计划,REG,REG,,PAX,,,1
FU6510,,FU6509,昆明-福州,,FOC,D,B1433,B738,2017/6/24 22:25,2017/6/24,0:46,,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8361,,KY8322,昆明-合艾,,HDY,I,B1507,B738,2017/6/24 14:10,2017/6/24,17:03,,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8321,,KY8276,昆明-成都,,CTU,D,B1507,B738,2017/6/24 8:15,2017/6/24,9:19,,,,,,,,33-计划,REG,REG,,PAX,,,0
CA1468,,CA1467,昆明-天津,,TSN,D,B1528,B738,2017/6/24 18:05,2017/6/24,20:59,,,,,,,,33-计划,REG,REG,,PAX,,,1
MU2498,,MU2493,昆明-武汉,,WUH,D,B1537,B738,2017/6/24 23:20,2017/6/24,1:09,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2494,,MU2497,昆明-武汉-温州,WUH,WNZ,D,B1537,B738,2017/6/24 11:20,2017/6/24,13:08,,,,,,,,33-计划,REG,REG,,PAX,,,0
HU7212,,HU7211,昆明-北京,,PEK,D,B1539,B789,2017/6/24 12:55,2017/6/24,15:46,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9803,,8L9946,昆明-丽江,,LJG,D,B1563,B737,2017/6/24 7:15,2017/6/24,8:07,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9893,,8L9884,昆明-珠海,,ZUH,D,B1586,B738,2017/6/24 7:15,2017/6/24,8:58,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9869,,8L9894,昆明-武汉-青岛,WUH,TAO,D,B1586,B738,2017/6/24 14:20,2017/6/24,16:08,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9885,,8L9974,昆明-徐州,,XUZ,D,B1588,B738,2017/6/24 9:10,2017/6/24,11:39,519L,,,,,,,33-计划,REG,MVT,,PAX,,,0
