FLT,VIP,LKF,RFC,VI1,TOF,REG,TAR,ITY,ABP,STA,ETA,TDT,ATA,FSA,POP,RCP,OPE,SDT,NAT,FLX,MFF,SST,HDL,ORG,CAR,CLA
3U8130,,3U8967,版纳-昆明,,D,B6449,,A319,,12:20,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,JHG,12,正班
3U8202,,,上海-昆明,,D,B6772,,A320,,23:45,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,PVG,15,正班
3U8216,,,郑州-昆明,,D,B1662,,A320,,20:00,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,CGO,14,正班
3U8222,,3U8724,福州-南宁-昆明,NNG,D,B8656,,A320,,20:50,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,FOC,10,正班
3U8514,,3U8668,兰州-重庆-昆明,CKG,D,B8325,,A320,,17:20,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,ZGC,14,正班
3U8528,,,西安-昆明,,D,B6778,,A320,,22:15,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,XIY,11,正班
3U8529,,3U8205,杭州-昆明,,D,B8326,,A320,,12:05,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,HGH,15,正班
3U8620,,,版纳-昆明,,D,B6175,,A319,,21:25,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,JHG,12,正班
3U8638,,,岘港-广州-昆明,CAN,M,B1661,,A320,,8:45,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,DAD,3,正班
3U8661,,3U8215,成都-昆明,,D,B1662,,A320,,9:00,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,CTU,14,正班
3U8667,,,成都-昆明,,D,B8325,,A320,,23:05,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,CTU,13,正班
3U8670,,3U8823,石家庄-成都-昆明,CTU,D,B6719,,A320,,18:45,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,SJW,15,正班
3U8723,,3U8221,北京-昆明,,D,B8656,,A320,,10:55,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,PEK,14,正班
3U8762,,,无锡-昆明,,D,B1821,,A320,,22:35,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,WUX,11,正班
3U8768,,3U8901,温州-南宁-昆明,NNG,D,B6732,,A320,,16:05,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,WNZ,11,正班
3U8818,,3U8619,拉萨-丽江-昆明,LJG,D,B6448,,A319,,16:20,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,LXA,12,正班
3U8838,,3U8837,北京-万州-昆明,WXN,D,B8331,,A320,,13:15,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,PEK,13,正班
3U8848,,3U8527,哈尔滨-郑州-昆明,CGO,D,B6325,,A320,,21:50,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,HRB,10,正班
3U8854,,3U8853,哈尔滨-徐州-昆明,XUZ,D,B6590,,A321,,15:00,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,HRB,11,正班
3U8866,,3U8201,宁波-昆明,,D,B6772,,A320,,14:15,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,NGB,11,正班
3U8902,,,珠海-昆明,,D,B6732,,A320,,23:00,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,ZUH,11,正班
3U8918,,,厦门-昆明,,D,B8329,,A320,,12:50,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,XMN,10,正班
3U8930,,3U8662,沈阳-长沙-昆明,HHA,D,B8500,,A320,,21:10,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,SHE,11,正班
3U8948,,3U8761,济南-昆明,,D,B1821,,A320,,13:55,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,TNA,13,正班
8L9520,,8L9906,芒市-昆明,,D,B5292,,B737,,15:55,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,LUM,11,正班
8L9556,,8L9991,海口-昆明,,D,B1798,,B738,,8:50,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,HAK,10,正班
8L9596,,8L9987,吉隆坡-昆明,,I,B8446,,A320,,17:15,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,KUL,4,正班
8L9624,,8L9955,杭州-昆明,,D,B6015,,B738,,17:55,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,HGH,12,正班
8L9644,,8L9904,芒市-昆明,,D,B5825,,B737,,9:55,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,LUM,14,正班
8L9648,,8L9555,天津-淮安-昆明,HIA,D,B1825,,A320,,18:50,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,TSN,13,正班
8L9652,,8L9979,郑州-昆明,,D,B5732,,B738,,9:45,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,CGO,11,正班
8L9656,,,哈尔滨-忻州-昆明,WUT,D,B7167,,B738,,20:30,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,HRB,10,正班
8L9802,,,丽江-昆明,,D,B1563,,B737,,8:15,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,LJG,14,正班
8L9806,,8L9805,丽江-昆明,,D,B6947,,A320,,12:30,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,LJG,14,正班
8L9842,,8L9519,普洱-昆明,,D,B5292,,B737,,12:15,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,SYM,11,正班
8L9850,,8L9921,迪庆-昆明,,D,B5805,,B737,,10:10,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,DIG,15,正班
8L9852,,8L9851,腾冲-昆明,,D,B5249,,B737,,13:50,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,TCZ,14,正班
8L9856,,8L9947,绵阳-昆明,,D,B1587,,B738,,9:15,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,MIG,11,正班
8L9858,,8L9914,腾冲-昆明,,D,B5272,,B737,,15:55,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,TCZ,13,正班
8L9862,,8L9875,合肥-昆明,,D,B2677,,B738,,15:20,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,HFE,11,正班
8L9864,,8L9983,徐州-重庆-昆明,CKG,D,B5359,,B738,,17:30,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,XUZ,11,正班
8L9866,,8L9889,济南-昆明,,D,B7989,,B738,,14:40,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,TNA,10,正班
8L9874,,,杭州-赣州-昆明,KOW,D,B5407,,B738,,16:40,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,HGH,13,正班
8L9876,,,厦门-昆明,,D,B2677,,B738,,23:55,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,XMN,12,正班
8L9888,,8L9801,上海-宜春-昆明,YIC,D,B6198,,A319,,20:05,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,SHA,15,正班
8L9892,,8L9583,大连-武汉-昆明,WUH,D,B6800,,B738,,22:40,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,DLC,13,正班
8L9894,,8L9985,珠海-昆明,,D,B6959,,A320,,12:10,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,ZUH,14,正班
8L9903,,8L9945,版纳-昆明,,D,B5825,,B737,,22:05,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,JHG,10,正班
8L9909,,8L9857,版纳-昆明,,D,B5272,,B737,,11:30,,,,33-计划,REG,,REG,2017/6/25,PAX,,,01,YAG,JHG,10,正班
8L9913,,8L9908,版纳-昆明,,D,B5272,,B737,,20:50,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,JHG,12,正班
8L9922,,,沧源-昆明,,D,B5805,,B737,,13:55,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,CWJ,10,正班
8L9942,,8L9971,大理-昆明,,D,B6221,,A319,,17:45,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,DLU,12,正班
8L9948,,8L9975,成都-昆明,,D,B1587,,B738,,14:45,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,CTU,12,正班
8L9956,,8L9883,郑州-昆明,,D,B5409,,B738,,16:50,,,,33-计划,REG,,REG,2017/6/25,PAX,,,01,YAG,CGO,10,正班
8L9960,,8L9993,宁波-安庆-昆明,AQG,D,B5449,,B738,,17:45,,,,33-计划,REG,,REG,2017/6/25,PAX,,,01,YAG,NGB,13,正班
8L9966,,,三亚-昆明,,D,B5971,,A333,,12:35,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,SYX,11,正班
8L9972,,,海口-昆明,,D,B6221,,A319,,23:40,,,,33-计划,REG,,REG,2017/6/25,PAX,,,00,YAG,HAK,10,正班
