FLT,VIP,LKF,RFC,VI1,TOF,REG,ITY,TAR,GAT,POP,FSA,OPE,STD,ABT,RCP,NAT,FLX,MFF,SST,DES,CID,MP1,ETD,ATD,EAN,CLA
OQ2328,,,昆明-重庆,,D,B6641,A320,,,REG,32-准时,REG,2017/6/25 9:50,,,PAX,,,01,CKG,D01-E10,A,2017/6/25 9:50,,2017/6/25 10:56,正班
QV816,,QV815,昆明-万象,,I,RDPL34224,A320,,,REG,32-准时,REG,2017/6/25 10:50,,,PAX,,,00,VTE,J11-J13,H,2017/6/25 10:50,,2017/6/25 12:04,正班
CZ3460,,CZ3459,昆明-深圳,,D,B2365,A320,,,REG,32-准时,REG,2017/6/25 11:35,,,PAX,,,00,SZX,D01-E10,B,2017/6/25 11:35,,2017/6/25 13:14,正班
UW9943,,UW9948,昆明-德里,,I,B2330,A306,721,,REG,33-计划,REG,2017/6/25 5:55,,,CGO,,,00,DEL,,,,,,货运包机
8L9655,,8L9586,昆明-忻州-哈尔滨,WUT,D,B7167,B738,113,64,REG,33-计划,REG,2017/6/25 6:10,,,PAX,,,00,HRB,A01-C10,B,,,2017/6/25 8:48,正班
3U8917,,3U8108,昆明-厦门,,D,B8329,A320,329,,REG,33-计划,REG,2017/6/25 6:25,,,PAX,,,00,XMN,C16-C20,A,,,2017/6/25 8:37,正班
MU2595,,MU5708,昆明-清迈,,I,B5795,B738,109,70,REG,33-计划,REG,2017/6/25 6:30,,,PAX,,,00,CNX,J01-J03,G,,,2017/6/25 7:56,正班
DR6591,,DR6516,昆明-西安,,D,B7088,B737,158,02,REG,33-计划,REG,2017/6/25 6:35,,,PAX,,,00,XIY,D01-E10,B,,,2017/6/25 8:25,正班
8L9709,,8L9892,昆明-连城-南京,LCX,D,B7991,B738,159,05,REG,33-计划,REG,2017/6/25 6:40,,,PAX,,,00,NKG,A01-C10,C,,,2017/6/25 8:53,正班
8L9941,,8L9972,昆明-大理,,D,B6221,A319,166,13,REG,33-计划,REG,2017/6/25 6:50,,,PAX,,,00,DLU,A01-C10,C,,,2017/6/25 7:33,正班
SC8843,,SC4859,昆明-济南-大阪,TNA,M,B7978,B738,328,,REG,33-计划,REG,2017/6/25 6:50,,,PAX,,,00,KIX,J11-J12,H,,,2017/6/25 9:27,正班
SC4926,,SC4925,昆明-济南,,D,B7805,B738,723,,REG,33-计划,REG,2017/6/25 6:50,,,PAX,,,00,TNA,D01-E10,B,,,2017/6/25 9:31,正班
3U8947,,3U8808,昆明-济南,,D,B1821,A320,526L,,REG,33-计划,REG,2017/6/25 6:55,,,PAX,,,00,TNA,C16-C20,A,,,2017/6/25 9:30,正班
GJ8662,,GJ8661,昆明-贵阳-杭州,KWE,D,B8983,A320,140,58,REG,33-计划,REG,2017/6/25 6:55,,,PAX,,,00,HGH,D01-E10,B,,,2017/6/25 7:46,正班
SC4860,,SC8844,昆明-青岛,,D,B7808,B738,312,,REG,33-计划,REG,2017/6/25 6:55,,,PAX,,,00,TAO,D01-E10,C,,,2017/6/25 10:02,正班
QW9856,,QW9855,昆明-屯溪-青岛,TXN,D,B8443,A320,149,51,REG,33-计划,REG,2017/6/25 6:55,,,PAX,,,00,TAO,D01-E10,C,,,2017/6/25 9:07,正班
3U8767,,3U8762,昆明-南宁-温州,NNG,D,B6732,A320,313,15,REG,33-计划,REG,2017/6/25 7:00,,,PAX,,,00,WNZ,C16-C20,A,,,2017/6/25 8:00,正班
8L9863,,8L9884,昆明-重庆-徐州,CKG,D,B5359,B738,162,08,REG,33-计划,REG,2017/6/25 7:00,,,PAX,,,00,XUZ,A01-C10,A,,,2017/6/25 8:09,正班
8L9873,,8L9698,昆明-赣州-杭州,KOW,D,B5407,B738,543,,REG,33-计划,REG,2017/6/25 7:00,,,PAX,,,00,HGH,A01-C10,B,,,2017/6/25 9:02,正班
DR6521,,DR6560,昆明-成都,,D,B1593,B738,156,15,REG,33-计划,REG,2017/6/25 7:00,,,PAX,,,00,CTU,D01-E10,C,,,2017/6/25 8:02,正班
HU7312,,HU7311,昆明-北京,,D,B1997,B738,160,06,REG,33-计划,REG,2017/6/25 7:00,,,PAX,,,00,PEK,D01-E10,A,,,2017/6/25 9:58,正班
KY8261,,KY8296,昆明-重庆-台州,CKG,D,B6491,B738,521L,,REG,33-计划,REG,2017/6/25 7:00,,,PAX,,,00,HYN,D01-E10,B,,,2017/6/25 8:11,正班
8L9643,,8L9946,昆明-芒市,,D,B5825,B737,316,,REG,33-计划,REG,2017/6/25 7:05,,,PAX,,,00,LUM,A01-C10,B,,,2017/6/25 7:56,正班
8L9849,,8L9864,昆明-迪庆,,D,B5805,B737,544,,REG,33-计划,REG,2017/6/25 7:05,,,PAX,,,00,DIG,A01-C10,C,,,2017/6/25 8:06,正班
8L9973,,8L9712,昆明-郑州,,D,B7992,B738,311,,REG,33-计划,REG,2017/6/25 7:05,,,PAX,,,01,CGO,A01-C10,C,,,2017/6/25 9:21,正班
KY8295,,KY8298,昆明-重庆-南通,CKG,D,B1926,B738,712,,REG,33-计划,REG,2017/6/25 7:05,,,PAX,,,00,NTG,D01-E10,A,,,2017/6/25 8:18,正班
MU556,,MU556,昆明-杭州,,D,B6805,A320,107,,REG,33-计划,DEL,2017/6/25 7:05,,,PAX,,,00,HGH,E11-H20,E,,,2017/6/25 9:34,正班
MU5921,,MU5986,昆明-丽江,,D,B5293,B737,706,,REG,33-计划,REG,2017/6/25 7:05,,,PAX,,,00,LJG,E11-H20,E,,,2017/6/25 7:59,正班
8L9647,,8L9986,昆明-淮安-天津,HIA,D,B1825,A320,167,11,REG,33-计划,REG,2017/6/25 7:10,,,PAX,,,00,TSN,A01-C10,A,,,2017/6/25 9:49,正班
8L9865,,8L9680,昆明-济南,,D,B7989,B738,112,65,REG,33-计划,REG,2017/6/25 7:10,,,PAX,,,00,TNA,A01-C10,B,,,2017/6/25 9:49,正班
