FLT,RFC,REG,VIP,LKF,VI1,ITY,TAR,TOF,FSA,OPE,POP,RCP,NAT,SDT,FLX,MFF,SST,HDL,STD,DES
3U8107,昆明-常州-青岛,B8329,,3U8667,CZX,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 14:05,TAO
3U8129,昆明-版纳,B6449,,3U8968,,A319,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 9:25,JHG
3U8215,昆明-郑州,B6732,,3U8918,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 14:40,CGO
3U8221,昆明-南宁-福州,B8331,,3U8723,NNG,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 11:55,FOC
3U8243,昆明-厦门,B6778,,3U8866,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,1,YAG,2017/6/27 15:15,XMN
3U8259,昆明-南京,B1822,,3U8661,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 11:20,NKG
3U8513,昆明-重庆-兰州,B6325,,3U8108,CKG,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 7:15,ZGC
3U8527,昆明-西安,B6953,,3U8598,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 23:20,XIY
3U8530,昆明-杭州,B1818,,3U8529,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 13:05,HGH
3U8553,昆明-重庆-乌鲁,B6719,,3U8762,CKG,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 8:45,URC
3U8597,昆明-太原-哈尔滨,B6953,,3U8554,TYN,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 7:45,HRB
3U8619,昆明-版纳,B6442,,3U8818,,A319,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 21:00,JHG
3U8637,昆明-广州-岘港,B1661,,3U8206,CAN,A320,,M,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 17:05,DAD
3U8662,昆明-成都,B8948,,3U8808,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 23:00,CTU
3U8668,昆明-成都,B6325,,3U8514,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 18:20,CTU
3U8669,昆明-成都-石家庄,B8500,,3U8768,CTU,A320,521R,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 7:30,SJW
3U8685,昆明-长沙-哈尔滨,B6590,,3U8686,HHA,A321,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 16:00,HRB
3U8709,昆明-万象,B6956,,3U8958,,A320,,I,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 8:50,VTE
3U8724,昆明-北京,B8331,,3U8222,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 21:50,PEK
3U8761,昆明-无锡,B8326,,3U8948,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 15:10,WUX
3U8767,昆明-南宁-温州,B8657,,3U8260,NNG,A320,524L,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 7:00,WNZ
3U8807,昆明-徐州-沈阳,B8948,,3U8222,XUZ,A320,152,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 7:50,SHE
3U8817,昆明-丽江-拉萨,B6442,,3U8818,LJG,A319,521L,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 7:30,LXA
3U8823,昆明-南昌,B8500,,3U8670,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 19:45,KHN
3U8837,昆明-万州-北京,B1665,,3U8838,WXN,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 14:15,PEK
3U8865,昆明-宁波,B6778,,3U8528,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 7:20,NGB
3U8917,昆明-厦门,B6732,,3U8202,,A320,155,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 6:25,XMN
3U8947,昆明-济南,B8326,,3U8824,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,YAG,2017/6/27 6:55,TNA
