FLT,VIP,LKF,RFC,VI1,DES,TOF,REG,ITY,TAR,GAT,CID,MP1,STD,ETD,ATD,ABT,FSA,RCP,SDT,EAN,POP,OPE,NAT,FLX,MFF,SST
"21043","","21043","昆明-CRK","","CRK","I","21043","YR76","720","","","","6:00","","","","33-计划","","2017/6/28","","REG","REG","SPE","","","00"
"21046","","21046","昆明-CRK","","CRK","I","21046","YR76","721","","","","6:00","","","","33-计划","","2017/6/28","","REG","REG","SPE","","","00"
"8L9655","","8L9586","昆明-忻州-哈尔滨","WUT","HRB","D","B7167","B738","167","11","A01-C10","","6:10","","","","33-计划","","2017/6/28","8:49","REG","REG","PAX","","","00"
"3U8917","","3U8216","昆明-厦门","","XMN","D","B6732","A320","525L","","C16-C20","A","6:25","","","","33-计划","","2017/6/28","8:37","REG","REG","PAX","","","00"
"MU2595","","MU5782","昆明-清迈","","CNX","I","B5701","B738","111","68","J01-J03","","6:30","","","","33-计划","","2017/6/28","7:57","REG","REG","PAX","","","00"
"DR6591","","DR6516","昆明-西安","","XIY","D","B1960","B738","156","15","D01-E10","","6:35","","","","33-计划","","2017/6/28","8:25","REG","REG","PAX","","","00"
"8L9709","","8L9558","昆明-连城-南京","LCX","NKG","D","B5732","B738","165","14","A01-C10","","6:40","","","","33-计划","","2017/6/28","8:53","REG","REG","PAX","","","00"
"8L9941","","8L9872","昆明-大理","","DLU","D","B5810","B737","166","13","A01-C10","","6:50","","","","33-计划","","2017/6/28","7:33","REG","REG","PAX","","","00"
"SC8843","","SC4859","昆明-济南-大阪","TNA","KIX","M","B7805","B738","316","","J11-J12","","6:50","","","","33-计划","","2017/6/28","9:28","REG","REG","PAX","","","00"
"SC4926","","SC4925","昆明-济南","","TNA","D","B7809","B738","315","","D01-E10","","6:50","","","","33-计划","","2017/6/28","9:28","REG","REG","PAX","","","00"
"3U8947","","3U8528","昆明-济南","","TNA","D","B6697","A320","154","25","C16-C20","","6:55","","","","33-计划","","2017/6/28","9:33","REG","REG","PAX","","","00"
"SC4860","","SC8844","昆明-青岛","","TAO","D","B7976","B738","314","","D01-E10","","6:55","","","","33-计划","","2017/6/28","10:02","REG","REG","PAX","","","00"
"QW9856","","QW9855","昆明-屯溪-青岛","TXN","TAO","D","B8443","A320","313","","D01-E10","","6:55","","","","33-计划","","2017/6/28","9:07","REG","REG","PAX","","","00"
"3U8033","","3U8762","昆明-丽江","","LJG","D","B8326","A320","149","51","C16-C20","","6:55","","","","33-计划","","2017/6/28","","REG","REG","PAX","","","00"
"3U8767","","3U8222","昆明-南宁-温州","NNG","WNZ","D","B8331","A320","525R","","C16-C20","","7:00","","","","33-计划","","2017/6/28","7:59","REG","REG","PAX","","","00"
"8L9863","","8L9936","昆明-重庆-徐州","CKG","XUZ","D","B6198","A319","164","12","A01-C10","","7:00","","","","33-计划","","2017/6/28","8:10","REG","REG","PAX","","","00"
"8L9873","","8L9890","昆明-赣州-杭州","KOW","HGH","D","B8446","A320","159","05","A01-C10","","7:00","","","","33-计划","","2017/6/28","9:03","REG","REG","PAX","","","00"
"DR6521","","DR6522","昆明-成都","","CTU","D","B1595","B738","324","","D01-E10","","7:00","","","","33-计划","","2017/6/28","8:03","REG","REG","PAX","","","00"
"KY8261","","KY8362","昆明-重庆-台州","CKG","HYN","D","B6491","B738","526L","","D01-E10","","7:00","","","","33-计划","","2017/6/28","8:12","REG","REG","PAX","","","00"
"8L9849","","8L9946","昆明-迪庆","","DIG","D","B5823","B737","168","09","A01-C10","","7:05","","","","33-计划","","2017/6/28","8:06","REG","REG","PAX","","","00"
"8L9973","","8L9892","昆明-郑州","","CGO","D","B7993","B738","158","02","A01-C10","","7:05","","","","33-计划","","2017/6/28","9:20","REG","REG","PAX","","","00"
"KY8295","","KY8234","昆明-重庆-南通","CKG","NTG","D","B1926","B738","142","62","D01-E10","","7:05","","","","33-计划","","2017/6/28","8:19","REG","REG","PAX","","","00"
"MU556","","MU556","昆明-杭州","","HGH","D","B2229","A320","108","","E11-H20","","7:05","","","","33-计划","","2017/6/28","9:35","REG","REG","PAX","","","00"
"MU5921","","MU5722","昆明-丽江","","LJG","D","B5276","B737","103","","E11-H20","","7:05","","","","33-计划","","2017/6/28","7:59","REG","REG","PAX","","","00"
"3U8669","","3U8667","昆明-成都-石家庄","CTU","SJW","D","B6325","A320","148","53","C16-C20","","7:10","","","","33-计划","","2017/6/28","8:11","REG","REG","PAX","","","00"
"8L9647","","8L9986","昆明-淮安-天津","HIA","TSN","D","B8445","A320","157","01","A01-C10","","7:10","","","","33-计划","","2017/6/28","9:50","REG","REG","PAX","","","00"
"8L9865","","8L9690","昆明-济南","","TNA","D","B2677","B738","160","06","A01-C10","","7:10","","","","33-计划","","2017/6/28","9:49","REG","REG","PAX","","","00"
"3U8513","","3U8108","昆明-重庆-兰州","CKG","ZGC","D","B8329","A320","109","","C16-C20","","7:15","","","","33-计划","","2017/6/28","8:22","REG","REG","PAX","","","00"
"8L9893","","8L9948","昆明-珠海","","ZUH","D","B1587","B738","544","","A01-C10","","7:15","","","","33-计划","","2017/6/28","8:58","REG","REG","PAX","","","00"
"8L9965","","8L9980","昆明-三亚","","SYX","D","B5971","A333","163","10","A01-C10","","7:15","","","","33-计划","","2017/6/28","8:56","REG","REG","PAX","","","00"
"DR6577","","DR6578","昆明-榆林-沈阳","UYN","SHE","D","B6110","B737","147","55","D01-E10","","7:15","","","","33-计划","","2017/6/28","9:33","REG","REG","PAX","","","00"
"3U8865","","3U8824","昆明-宁波","","NGB","D","B8500","A320","151","47","C16-C20","","7:20","","","","33-计划","","2017/6/28","9:48","REG","REG","PAX","","","00"
"CA4171","","CA4459","昆明-北京","","PEK","D","B1852","A320","327","","D01-E10","","7:20","","","","33-计划","","2017/6/28","10:17","REG","REG","PAX","","","00"
"CA4175","","CA4417","昆明-沈阳","","SHE","D","B6881","A320","139","56","D01-E10","","7:20","","","","33-计划","","2017/6/28","10:57","REG","REG","PAX","","","00"
"DR6533","","DR6534","昆明-武汉","","WUH","D","B7865","B738","326","","D01-E10","","7:20","","","","33-计划","","2017/6/28","9:10","REG","REG","PAX","","","00"
"DR6569","","DR6560","昆明-北海","","BHY","D","B1593","B738","155","17","D01-E10","","7:20","","","","33-计划","","2017/6/28","8:37","REG","REG","PAX","","","00"
"KY8315","","KY8250","昆明-腾冲","","TCZ","D","B7872","B737","311","","D01-E10","","7:20","","","","33-计划","","2017/6/28","8:13","REG","REG","PAX","","","00"
"8L9959","","8L9870","昆明-安庆-宁波","AQG","NGB","D","B7988","B738","162","08","A01-C10","","7:25","","","","33-计划","","2017/6/28","9:41","REG","REG","PAX","","","00"
