FLT,RFC,REG,VIP,LKF,VI1,ITY,TAR,TOF,FSA,OPE,POP,RCP,NAT,SDT,FLX,MFF,SST,HDL,STA,ORG,ETA,TDT,ATA,ABP,CAR,STP
3U8108,青岛-常州-昆明,B8326,,,CZX,A320,,D,33-计划,REG,REG,,PAX,2017/6/30,,,0,YAG,2017/6/30 1:30,TAO,,,,,11,2017/6/29 22:35
3U8130,版纳-昆明,B6449,,3U8967,,A319,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 12:05,JHG,,,,,10,2017/6/29 11:05
3U8206,广州-昆明,B1665,,3U8221,,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 8:45,CAN,,,,,13,2017/6/29 6:15
3U8216,郑州-昆明,B8329,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 21:10,CGO,,,,,11,2017/6/29 18:25
3U8222,福州-南宁-昆明,B1665,,,NNG,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 20:50,FOC,,,,,11,2017/6/29 19:35
3U8244,厦门-昆明,B6732,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,1,YAG,2017/6/29 22:05,XMN,,,,,10,2017/6/29 19:15
3U8260,南京-昆明,B6843,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 18:05,NKG,,,,,,2017/6/29 15:10
3U8514,兰州-重庆-昆明,B1881,,,CKG,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 17:20,ZGC,,,,,12,2017/6/29 15:45
3U8528,西安-昆明,B6772,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 22:15,XIY,,,,,11,2017/6/29 19:50
3U8529,杭州-昆明,B6770,,3U8530,,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 12:05,HGH,,,,,14,2017/6/29 9:00
3U8554,乌鲁-重庆-昆明,B6719,,,CKG,A320,,D,33-计划,REG,REG,,PAX,2017/6/30,,,0,YAG,2017/6/30 0:10,URC,,,,,12,2017/6/29 22:35
3U8598,哈尔滨-太原-昆明,B6778,,3U8527,TYN,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 22:00,HRB,,,,,11,2017/6/29 19:10
3U8620,版纳-昆明,B6433,,,,A319,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 23:15,JHG,,,,,15,2017/6/29 22:00
