FLT,VIP,LKF,RFC,ORG,VI1,TOF,REG,ITY,TAR,CAR,ABP,STA,ETA,TDT,ATA,FSA,SDT,OPE,POP,RCP,NAT,FLX,MFF,SST,HDL
"MF8427","","MF8428","福州-昆明","FOC","","D","B5038","B737","","","10:12","11:00","","","","21-前站起飞","2017/6/30","REG","REG","","PAX","","","03","YAG"
"MU774","","MU5843","巴黎-昆明","CDG","","I","B5926","A33E","107","","","7:40","7:34","","","32-准时","2017/6/30","REG","REG","","PAX","","","00","CES"
"MU778","","MU5841","悉尼-昆明","SYD","","I","B5930","A33E","106","","","5:30","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"MU556","","MU556","加尔-昆明","CCU","","I","B6797","A322","109","","","5:45","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"SC8886","","SC8886","曼谷-昆明","BKK","","I","B1745","B738","108","","","5:55","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"UW9948","","UW9947","马德拉斯-昆明","MAA","","I","B2330","A306","","","","6:00","","","","33-计划","2017/6/30","REG","REG","","CGO","","","00","YAG"
"MU756","","MU756","迪拜-昆明","DXB","","I","B5921","A33E","105","","","7:30","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"8L9905","","8L9910","版纳-昆明","JHG","","D","B5272","B737","","","","7:50","","","","33-计划","2017/6/30","REG","REG","","PAX","","","01","YAG"
"PN6393","","PN6393","重庆-昆明","CKG","","D","B8422","A320","","","","7:55","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"8L9584","","8L9869","马尼拉-昆明","MNL","","I","B7167","B738","","","","8:05","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"8L9802","","8L9923","丽江-昆明","LJG","","D","B5825","B737","","","","8:15","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"EU2223","","EU2721","成都-昆明","CTU","","D","B6163","A319","","","","8:20","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MU5449","","MU5464","重庆-昆明","CKG","","D","B6832","A320","","","","8:25","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"O36944","","O36943","杭州-昆明","HGH","","D","B2828","B757","","","","8:40","","","","33-计划","2017/6/30","REG","REG","","CGO","","","00","YAG"
"OQ2327","","OQ2328","重庆-昆明","CKG","","D","B6248","A319","","","","8:43","","","","33-计划","2017/6/30","REG","REG","","PAX","","","01","YAG"
"3U8638","","3U8107","岘港-广州-昆明","DAD","CAN","M","B1661","A320","","","","8:45","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"8L9556","","8L9651","海口-昆明","HAK","","D","B5732","B738","","","","8:50","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"8L9994","","8L9889","西安-昆明","XIY","","D","B6809","B738","","","","8:50","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CF9018","","CF9017","南京-昆明","NKG","","D","B2824","B757","","","","8:55","","","","33-计划","2017/6/30","REG","REG","","CGO","","","00","UNK"
"3U8661","","3U8259","成都-昆明","CTU","","D","B1820","A320","","","","9:00","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MU2567","","MU2567","广州-昆明","CAN","","D","B6145","B738","","","","9:05","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"BK2797","","BK2715","长沙-昆明","HHA","","D","B6026","B738","","","","9:10","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"8L9856","","8L9991","绵阳-昆明","MIG","","D","B1588","B738","","","","9:15","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CA415","","CA415","成都-昆明","CTU","","D","B6038","A319","","","","9:15","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"KY8286","","KY8273","广州-昆明","CAN","","D","B1926","B738","","","","9:15","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CZ3481","","CZ3481","广州-昆明","CAN","","D","B6201","A319","","","","9:18","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MU2359","","MU2360","西宁-昆明","XNN","","D","B6693","A320","","","","9:20","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"HU7087","","HU7088","海口-昆明","HAK","","D","B2651","B738","","","","9:35","","","","33-计划","2017/6/30","REG","REG","","PAX","","","01","YAG"
"ZH9411","","ZH9412","深圳-昆明","SZX","","D","B6153","A319","","","","9:40","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"8L9652","","8L9875","郑州-昆明","CGO","","D","B7988","B738","","","","9:45","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"SC8829","","SC8829","青岛-昆明","TAO","","D","B1743","B738","","","","9:45","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CZ3431","","CZ3432","海口-昆明","HAK","","D","B8548","A321","","","","9:48","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"QV815","","QV816","万象-昆明","VTE","","I","RDPL34223","A320","312","","","9:50","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"SC4769","","SC4770","厦门-昆明","XMN","","D","B1511","B738","","","","9:50","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"8L9988","","8L9623","北京-昆明","PEK","","D","B6959","A320","","","","9:55","","","","33-计划","2017/6/30","REG","REG","","PAX","","","01","YAG"
"3U8034","","3U8205","丽江-昆明","LJG","","D","B8326","A320","","","","9:55","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"8L9850","","8L9921","迪庆-昆明","DIG","","D","B5823","B737","","","","10:10","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MU5946","","MU5965","澜沧-昆明","JMJ","","D","B5815","B737","","","","10:20","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"CZ3459","","CZ3460","深圳-昆明","SZX","","D","B2396","A320","","","","10:23","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"GS7653","","GS7654","西安-昆明","XIY","","D","B9983","A320","","","","10:25","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"HU7163","","HU7164","深圳-昆明","SZX","","D","B5338","B738","","","","10:25","","","","33-计划","2017/6/30","REG","REG","","PAX","","","01","YAG"
"MU2205","","MU2206","银川-昆明","INC","","D","B1641","A320","","","","10:25","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"CA1751","","CA1956","杭州-昆明","HGH","","D","B6032","A319","","","","10:30","","","","33-计划","2017/6/30","REG","REG","","PAX","","","01","YAG"
"MU2705","","MU2705","南京-昆明","NKG","","D","B6472","A319","","","","10:30","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"CZ3491","","CZ3491","郑州-昆明","CGO","","D","B2169","B737","","","","10:33","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CA1403","","CA1404","北京-昆明","PEK","","D","B5179","B737","","","","10:35","","","","33-计划","2017/6/30","REG","REG","","PAX","","","01","YAG"
"JD5165","","JD5791","丽江-昆明","LJG","","D","B6178","A319","","","","10:40","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MU5476","","MU5475","合肥-昆明","HFE","","D","B1610","A320","","","","10:40","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"CZ3409","","CZ3410","广州-昆明","CAN","","D","B1917","B738","","","","10:43","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"9C8953","","9C8954","上海-昆明","SHA","","D","B6820","A320","","","","10:45","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"FM9539","","FM9540","温州-昆明","WNZ","","D","B5142","B738","","","","10:45","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"KY8252","","KY8209","保山-昆明","BSD","","D","B7870","B737","","","","10:45","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MF8405","","MF8406","厦门-昆明","XMN","","D","B5845","B738","","","","10:50","","","","33-计划","2017/6/30","REG","REG","","PAX","","","03","YAG"
"CZ3677","","CZ3678","上海-昆明","PVG","","D","B8848","A321","","","","10:53","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"KY8220","","KY8203","深圳-昆明","SZX","","D","B5673","B738","","","","10:55","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CZ3857","","CZ3858","汕头-昆明","SWA","","D","B1920","B738","","","","10:58","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"ZH9265","","ZH9266","西安-昆明","XIY","","D","B8633","A322","","","","11:05","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CA1955","","CA1752","温州-昆明","WNZ","","D","B8429","A320","","","","11:10","","","","33-计划","2017/6/30","REG","REG","","PAX","","","01","YAG"
"ZH9561","","ZH9562","南京-昆明","NKG","","D","B5771","B738","","","","11:10","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"DR6570","","DR6559","北海-昆明","BHY","","D","B1593","B738","","","","11:20","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"JD5789","","JD5790","版纳-昆明","JHG","","D","B8072","A320","","","","11:20","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"UO273","","UO274","香港-昆明","HKG","","R","BLPH","A320","","","","11:25","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"FD582","","FD583","廊曼-昆明","DMK","","I","HSBBE","A320","","","","11:25","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
