FLT,VIP,LKF,REG,RFC,VI1,DES,TOF,ITY,TAR,GAT,CID,MP1,STD,ETD,ATD,ABT,FSA,RCP,SDT,EAN,POP,OPE,NAT,FLX,MFF,SST,STN
"8L9557","","8L9710","B1798","昆明-锦州-哈尔滨","JNZ","HRB","D","B738","544","","","","6:10","","","","33-计划","","2017/7/1","9:48","REG","REG","PAX","","","00","9:20"
"3U8917","","3U8260","B6843","昆明-厦门","","XMN","D","A320","519R","","","A","6:25","","","","33-计划","","2017/7/1","8:39","REG","REG","PAX","","","00","9:05"
"MU2595","","MU746","B1703","昆明-清迈","","CNX","I","B738","704","","J01-J03","","6:30","","","","33-计划","","2017/7/1","7:57","REG","REG","PAX","","","00","8:05"
"8L9995","","8L9980","B7993","昆明-银川","","INC","D","B738","323","","","","6:40","","","","33-计划","","2017/7/1","8:59","REG","REG","PAX","","","00","9:20"
"8L9916","","8L9984","B6221","昆明-版纳","","JHG","D","A319","161","07","","","6:45","","","","33-计划","","2017/7/1","7:31","REG","REG","PAX","","","00","7:45"
"SC8843","","SC4925","B7977","昆明-济南-大阪","TNA","KIX","M","B738","318","","J11-J12","","6:50","","","","33-计划","","2017/7/1","9:27","REG","REG","PAX","","","00","9:55"
"SC4926","","SC4859","B1436","昆明-济南","","TNA","D","B738","148","53","","","6:50","","","","33-计划","","2017/7/1","9:27","REG","REG","PAX","","","00","9:55"
"3U8947","","3U8667","B1665","昆明-济南","","TNA","D","A320","153","27","","","6:55","","","","33-计划","","2017/7/1","9:33","REG","REG","PAX","","","00","10:05"
"QW9856","","QW9855","B8443","昆明-屯溪-青岛","TXN","TAO","D","A320","136","50","","","6:55","","","","33-计划","","2017/7/1","9:07","REG","REG","PAX","","","00","9:15"
"SC8424","","SC8844","B7975","昆明-南昌-青岛","KHN","TAO","D","B738","316","","","","6:55","","","","33-计划","","2017/7/1","","REG","REG","PAX","","","00","9:15"
"3U8767","","3U8902","B1822","昆明-南宁-温州","NNG","WNZ","D","A320","154","25","","","7:00","","","","33-计划","","2017/7/1","7:59","REG","REG","PAX","","","00","8:05"
"8L9685","","8L9911","B5825","昆明-凯里-郑州","KJH","CGO","D","B737","160","06","","","7:00","","","","33-计划","","2017/7/1","8:03","REG","REG","PAX","","","00","8:20"
"8L9863","","8L9890","B5449","昆明-重庆-徐州","CKG","XUZ","D","B738","541","","","","7:00","","","","33-计划","","2017/7/1","8:10","REG","REG","PAX","","","00","8:35"
"8L9873","","8L9678","B8445","昆明-赣州-杭州","KOW","HGH","D","A320","110","","","","7:00","","","","33-计划","","2017/7/1","9:04","REG","REG","PAX","","","00","9:10"
"DR6521","","DR6522","B1595","昆明-成都","","CTU","D","B738","155","17","","","7:00","","","","33-计划","","2017/7/1","8:03","REG","REG","PAX","","","00","8:35"
"8L9849","","8L9903","B5823","昆明-迪庆","","DIG","D","B737","542","","","","7:05","","","","33-计划","","2017/7/1","8:06","REG","REG","PAX","","","00","8:00"
"8L9973","","8L9876","B7988","昆明-郑州","","CGO","D","B738","165","14","","","7:05","","","","33-计划","","2017/7/1","9:20","REG","REG","PAX","","","00","9:45"
"KY8295","","KY8234","B6495","昆明-重庆-南通","CKG","NTG","D","B738","147","55","","","7:05","","","","33-计划","","2017/7/1","8:19","REG","REG","PAX","","","00","8:40"
