FLT,VIP,LKF,RFC,ORG,VI1,TOF,REG,ITY,TAR,CAR,ABP,STP,STA,ETA,TDT,ATA,RCP,FSA,SDT,POP,OPE,NAT,FLX,MFF,SST
"MU556","","MU2589","加尔-昆明","CCU","","I","B6146","B738","106","","","3:00","5:45","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"SC8886","","SC8886","曼谷-昆明","BKK","","I","B6986","B738","109","","","4:05","5:55","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"UW9948","","","马德拉斯-昆明","MAA","","I","B2330","A306","721","","","2:10","6:00","","","","","33-计划","2017/7/1","REG","REG","CGO","","","00"
"8L9598","","8L9991","曼谷-昆明","BKK","","I","B7991","B738","329","","","4:25","6:30","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"8L9504","","8L9889","莫斯科-昆明","DME","","I","B5971","A333","520","","","22:05","6:30","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5094","","MU5094","新加坡-昆明","SIN","","I","B1612","A320","","","","3:30","7:30","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"PN6393","","PN6393","重庆-昆明","CKG","","D","B8422","A320","","","","6:10","7:55","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"8L9905","","8L9643","版纳-昆明","JHG","","D","B5248","B737","","","","7:00","8:05","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"EU2223","","EU2721","成都-昆明","CTU","","D","B6229","A319","","","","6:35","8:20","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5449","","MU5464","重庆-昆明","CKG","","D","B1862","A320","","","","6:50","8:25","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"8L9856","","8L9651","绵阳-昆明","MIG","","D","B7990","B738","","","","7:05","8:35","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5747","","MU5973","版纳-昆明","JHG","","D","B5255","B737","","","","7:30","8:35","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"O36944","","","杭州-昆明","HGH","","D","B2820","B752","","","","5:55","8:40","","","","","33-计划","2017/7/1","REG","REG","CGO","","","00"
"OQ2327","","OQ2328","重庆-昆明","CKG","","D","B1826","A320","","","","7:15","8:43","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"3U8206","","3U8245","广州-昆明","CAN","","D","B8326","A320","","","","6:15","8:45","8:15","","","","32-准时","2017/7/1","REG","REG","PAX","","","00"
"8L9556","","8L9933","海口-昆明","HAK","","D","B5268","B737","","","","7:00","8:50","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"8L9994","","8L9891","西安-昆明","XIY","","D","B5409","B738","","","","6:25","8:50","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"CF9018","","CF9017","南京-昆明","NKG","","D","B2827","B757","","","","6:00","8:55","","","","","33-计划","2017/7/1","REG","REG","CGO","","","00"
"MU5852","","MU5811","成都-昆明","CTU","","D","B7599","B738","114","","","7:10","8:55","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"3U8661","","3U8227","成都-昆明","CTU","","D","B6956","A320","","","","7:20","9:00","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"8L9802","","8L9623","丽江-昆明","LJG","","D","B6947","A320","","","","8:00","9:00","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU2567","","MU2567","广州-昆明","CAN","","D","B6149","B738","","","","6:30","9:05","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"BK2797","","BK2845","长沙-昆明","HHA","","D","B1732","B738","","","","7:05","9:10","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU2495","","MU2496","成都-昆明","CTU","","D","B5501","B738","","","","7:30","9:10","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"CA415","","CA415","成都-昆明","CTU","","D","B2364","A319","","","","7:40","9:15","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"KY8286","","KY8273","广州-昆明","CAN","","D","B6492","B738","","","","6:45","9:15","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"CZ3481","","CZ3481","广州-昆明","CAN","","D","B6209","A319","","","","7:00","9:18","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU2359","","MU2360","西宁-昆明","XNN","","D","B6929","A320","","","","7:05","9:20","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5764","","MU5843","深圳-昆明","SZX","","D","B1789","B738","","","","6:55","9:25","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU2249","","MU2250","兰州-昆明","ZGC","","D","B1609","A320","","","","7:15","9:30","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"GX8981","","GX8982","南宁-昆明","NNG","","D","B3215","E190","","","","8:10","9:35","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"HU7087","","HU7088","海口-昆明","HAK","","D","B5466","B738","","","","7:40","9:35","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"8L9915","","8L9637","版纳-昆明","JHG","","D","B6221","A319","","","","8:40","9:40","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU2756","","MU2756","版纳-昆明","JHG","","D","B6457","A319","","","","8:40","9:40","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"ZH9411","","ZH9412","深圳-昆明","SZX","","D","B8635","A322","","","","7:10","9:40","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"8L9652","","8L9855","郑州-昆明","CGO","","D","B1586","B738","","","","7:05","9:45","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"CZ3431","","CZ3432","海口-昆明","HAK","","D","B8548","A321","","","","8:05","9:48","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5469","","MU5470","南昌-昆明","KHN","","D","B1613","A320","","","","7:20","9:50","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"QV815","","QV816","万象-昆明","VTE","","I","RDPL34223","A320","","","","7:20","9:50","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"8L9850","","8L9827","迪庆-昆明","DIG","","D","B5823","B737","","","","8:50","9:55","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5711","","MU5989","版纳-昆明","JHG","","D","B5293","B737","","","","8:50","9:55","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"8L9988","","8L9871","北京-昆明","PEK","","D","B8446","A320","","","","6:20","10:00","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"SC4769","","SC4770","厦门-昆明","XMN","","D","B1986","B738","","","","7:10","10:00","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5740","","MU741","广州-昆明","CAN","","D","B1907","B738","","","","7:35","10:05","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU2181","","MU2182","西安-昆明","XIY","","D","B2378","A320","","","","7:50","10:10","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU2497","","MU2494","武汉-昆明","WUH","","D","B7393","B738","","","","7:55","10:10","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
