FLT,VIP,LKF,REG,RFC,VI1,TOF,ITY,TAR,STA,ETA,FSA,SDT,OPE,POP,RCP,NAT,FLX,MFF,SST,HDL,ORG,TDT,ATA,ABP,CAR
AK101,,AK100,9MAFF,吉隆坡-昆明,,I,A320,,2017/7/3 16:55,,33-计划,,REG,REG,,PAX,,,0,YAG,KUL,,,,
CA1401,,CA1402,B1418,天津-昆明,,D,B738,,2017/7/3 19:15,,33-计划,,REG,REG,,PAX,,,0,YAG,TSN,,,,
KY8270,,,B1459,丽江-版纳-昆明,JHG,D,B737,,2017/7/4 0:10,,33-计划,,REG,REG,,PAX,,,0,YAG,LJG,,,,
KY8314,,KY8269,B1459,腾冲-昆明,,D,B737,,2017/7/3 17:50,,33-计划,,REG,REG,,PAX,,,0,YAG,TCZ,,,,
SC8830,,SC8830,B1506,德里-昆明,,I,B738,,2017/7/3 23:05,,33-计划,,REG,REG,,PAX,,,0,YAG,DEL,,,,
SC8829,,SC8829,B1506,青岛-昆明,,D,B738,107,2017/7/3 9:45,,33-计划,,REG,REG,,PAX,,,0,YAG,TAO,,,,
KY8240,,,B1507,青岛-昆明,,D,B738,,2017/7/4 0:25,,33-计划,,REG,REG,,PAX,,,0,YAG,TAO,,,,
KY8258,,KY8239,B1507,郑州-昆明,,D,B738,,2017/7/3 14:55,,33-计划,,REG,REG,,PAX,,,0,YAG,CGO,,,,
MU2493,,MU2498,B1515,武汉-昆明,,D,B738,,2017/7/3 22:10,,33-计划,,REG,REG,,PAX,,,0,CES,WUH,,,,
HU7111,,HU7112,B1541,北京-昆明,,D,B738,,2017/7/3 19:10,,33-计划,,REG,REG,,PAX,,,0,YAG,PEK,,,,
FU6509,,FU6510,B1559,福州-昆明,,D,B738,,2017/7/3 21:20,,33-计划,,REG,REG,,PAX,,,0,YAG,FOC,,,,
8L9804,,8L9801,B1563,丽江-昆明,,D,B737,,2017/7/3 22:05,,33-计划,,REG,REG,,PAX,,,0,YAG,LJG,,,,
8L9946,,,B1565,成都-昆明,,D,B737,,2017/7/4 1:30,,33-计划,,REG,REG,,PAX,,,0,YAG,CTU,,,,
8L9888,,8L9955,B1586,上海-宜春-昆明,YIC,D,B738,,2017/7/3 20:15,,33-计划,,REG,REG,,PAX,,,0,YAG,SHA,,,,
8L9948,,,B1587,成都-昆明,,D,B738,540,2017/7/3 14:45,,33-计划,,REG,REG,,PAX,,,0,YAG,CTU,,,,
8L9856,,8L9947,B1587,绵阳-昆明,,D,B738,159,2017/7/3 8:35,,33-计划,,REG,REG,,PAX,,,0,YAG,MIG,,,,
8L9656,,8L9555,B1588,哈尔滨-忻州-昆明,WUT,D,B738,,2017/7/3 21:00,,33-计划,,REG,REG,,PAX,,,0,YAG,HRB,,,,
DR6570,,,B1593,北海-昆明,,D,B738,523R,2017/7/3 11:20,,33-计划,,REG,REG,,PAX,,,0,YAG,BHY,,,,
DR6522,,,B1595,成都-昆明,,D,B738,,2017/7/4 0:30,,33-计划,,REG,REG,,PAX,,,0,YAG,CTU,,,,
