FLT,RFC,LKF,VIP,REG,VI1,TOF,ITY,TAR,GAT,FSA,POP,SDT,RCP,NAT,FLX,MFF,SST,STA,ORG,STP
3U8108,青岛-常州-昆明,,,B1819,CZX,D,A320,,,33-计划,REG,2017/7/9,,PAX,,,0,2017/7/9 1:30,TAO,2017/7/8 22:35
3U8130,版纳-昆明,3U8967,,B6453,,D,A319,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 12:05,JHG,2017/7/8 11:05
3U8206,广州-昆明,3U8221,,B6955,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 8:45,CAN,2017/7/8 6:15
3U8216,郑州-昆明,,,B1822,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 21:10,CGO,2017/7/8 18:25
3U8222,福州-南宁-昆明,3U8724,,B6955,NNG,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 20:50,FOC,2017/7/8 19:35
3U8228,长春-南京-昆明,,,B1820,NKG,D,A320,,,33-计划,REG,2017/7/9,,PAX,,,0,2017/7/9 1:50,CGQ,2017/7/8 22:55
3U8244,厦门-昆明,,,B8500,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,1,2017/7/8 22:05,XMN,2017/7/8 19:15
3U8246,合肥-昆明,,,B6956,,D,A320,,,33-计划,REG,2017/7/9,,PAX,,,0,2017/7/9 0:20,HFE,2017/7/8 21:40
3U8514,兰州-重庆-昆明,3U8685,,B6906,CKG,D,A321,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 17:20,ZGC,2017/7/8 15:45
3U8528,西安-昆明,,,B6719,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 22:15,XIY,2017/7/8 19:50
3U8529,杭州-昆明,3U8530,,B6905,,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 12:05,HGH,2017/7/8 9:00
3U8554,乌鲁-重庆-昆明,,,B8331,CKG,D,A320,,,33-计划,REG,2017/7/9,,PAX,,,0,2017/7/9 0:10,URC,2017/7/8 22:35
