FLT,REG,VIP,TAR,ITY,LKF,RFC,ORG,VI1,TOF,STP,ABP,STA,ETA,TDT,FSA,ATA,SDT,RCP,OPE,POP,CAR,NAT,FLX,MFF,SST,HDL
"3U8228","B6347","","","A320","","长春-南京-昆明","CGQ","NKG","D","2017/7/10 22:55","","1:50","","","33-计划","","2017/7/11","","REG","REG","","PAX","","","00","YAG"
"UL828","","","","A320","UL829","科伦坡-昆明","CMB","","I","2017/7/10 21:20","","1:50","","","33-计划","","2017/7/11","","REG","REG","","PAX","","","00","YAG"
"8L9974","B7991","","","B738","","郑州-昆明","CGO","","D","2017/7/10 23:00","","1:45","","","33-计划","","2017/7/11","","REG","REG","","PAX","","","00","YAG"
"8L9913","B5825","","","B737","","版纳-昆明","JHG","","D","2017/7/11 0:40","","1:40","","","33-计划","","2017/7/11","","REG","REG","","PAX","","","00","YAG"
"8L9870","B8732","","","A320","","青岛-武汉-昆明","TAO","WUH","D","2017/7/10 23:25","","1:40","","","33-计划","","2017/7/11","","REG","REG","","PAX","","","00","YAG"
"8L9678","B8445","","","A320","","芽庄-昆明","CXR","","I","2017/7/10 23:00","","1:40","","","33-计划","","2017/7/11","","REG","REG","","PAX","","","00","YAG"
"DR6562","B7866","","","B738","","沈阳-青岛-昆明","SHE","TAO","D","2017/7/10 22:05","","1:40","","","33-计划","","2017/7/11","","REG","REG","","PAX","","","00","YAG"
"DR6512","B5829","","","B737","","版纳-昆明","JHG","","D","2017/7/11 0:30","","1:35","","","33-计划","","2017/7/11","","REG","REG","","PAX","","","00","YAG"
"3U8824","B1820","","","A320","","南昌-昆明","KHN","","D","2017/7/10 23:15","","1:35","","","33-计划","","2017/7/11","","REG","REG","","PAX","","","00","YAG"
"8L9986","B6015","","","B738","","呼和-太原-昆明","HET","TYN","D","2017/7/10 22:45","","1:35","","","33-计划","","2017/7/11","","REG","REG","","PAX","","","00","YAG"
"3U8968","B6779","","","A320","","大连-重庆-昆明","DLC","CKG","D","2017/7/10 23:55","","1:30","","","33-计划","","2017/7/11","","REG","REG","","PAX","","","00","YAG"
"8L9946","B5805","","","B737","","成都-昆明","CTU","","D","2017/7/10 23:50","","1:30","","","33-计划","","2017/7/11","","REG","REG","","PAX","","","00","YAG"
"MU5720","B7600","","","B738","","北京-昆明","PEK","","D","2017/7/10 21:55","","1:30","","","33-计划","","2017/7/11","","REG","REG","","PAX","","","00","CES"
"MU5848","B2412","","","A320","","成都-昆明","CTU","","D","2017/7/10 23:45","","1:25","","","33-计划","","2017/7/11","","REG","REG","","PAX","","","00","CES"
"8L9992","B6016","","","B738","","乌鲁-兰州-昆明","URC","ZGC","D","2017/7/10 23:10","","1:20","","","33-计划","","2017/7/11","","REG","REG","","PAX","","","00","YAG"
