FLT,VIP,TAR,LKF,RFC,VI1,DES,TOF,REG,ITY,GAT,CID,MP1,STD,ETD,ABT,ATD,FSA,SDT,EAN,POP,OPE,RCP,NAT,FLX,MFF,SST
"3U8129","","","3U8902","昆明-版纳","","JHG","D","B6453","A319","","","","9:25","","","","33-计划","2017/7/10","10:09","REG","REG","","PAX","","","00"
"3U8201","","","3U8866","昆明-上海","","PVG","D","B1886","A320","","","","16:10","","","","33-计划","2017/7/10","18:45","REG","REG","","PAX","","","00"
"3U8205","","","3U8206","昆明-广州","","CAN","D","B1881","A320","","","","17:00","","","","33-计划","2017/7/10","18:40","REG","REG","","PAX","","","00"
"3U8221","","","3U8723","昆明-南宁-福州","NNG","FOC","D","B6388","A320","","","","11:55","","","","33-计划","2017/7/10","12:58","REG","REG","","PAX","","","00"
"3U8245","","","3U8818","昆明-合肥","","HFE","D","B6175","A319","","","","18:00","","","","33-计划","2017/7/10","20:03","REG","REG","","PAX","","","00"
"3U8513","","156","3U8222","昆明-重庆-兰州","CKG","ZGC","D","B1819","A320","15","","","7:15","","","","33-计划","2017/7/10","8:22","REG","REG","","PAX","","","00"
"3U8530","","","3U8529","昆明-杭州","","HGH","D","B1665","A320","","","","13:05","","","","33-计划","2017/7/10","15:29","REG","REG","","PAX","","","00"
"3U8662","","","3U8768","昆明-成都","","CTU","D","B6348","A320","","","","23:00","","","","33-计划","2017/7/10","0:04","REG","REG","","PAX","","","00"
"3U8668","","","3U8034","昆明-成都","","CTU","D","B8329","A320","","","","18:30","","","","33-计划","2017/7/10","19:35","REG","REG","","PAX","","","00"
"3U8669","","","3U8202","昆明-成都-石家庄","CTU","SJW","D","B8500","A320","","","","7:30","","","","33-计划","2017/7/10","8:30","REG","REG","","PAX","","","00"
"3U8724","","","3U8222","昆明-北京","","PEK","D","B6388","A320","","","","21:50","","","","33-计划","2017/7/10","0:39","REG","REG","","PAX","","","00"
"3U8761","","522R","3U8528","昆明-无锡","","WUX","D","B1822","A320","","","","15:10","","","","33-计划","2017/7/10","17:39","REG","REG","","PAX","","","00"
"3U8767","","328","3U8228","昆明-南宁-温州","NNG","WNZ","D","B6348","A320","","","","7:00","","","","33-计划","2017/7/10","7:59","REG","REG","","PAX","","","00"
"3U8817","","523R","3U8620","昆明-丽江-拉萨","LJG","LXA","D","B6175","A319","","","","7:30","","","","33-计划","2017/7/10","8:19","REG","REG","","PAX","","","00"
"3U8823","","521L","3U8918","昆明-南昌","","KHN","D","B1820","A320","","","","20:05","","","","33-计划","2017/7/10","21:54","REG","REG","","PAX","","","00"
"3U8837","","","3U8838","昆明-万州-北京","WXN","PEK","D","B2373","A320","","","","14:15","","","","33-计划","2017/7/10","15:42","REG","REG","","PAX","","","00"
"3U8847","","","3U8968","昆明-郑州-哈尔滨","CGO","HRB","D","B6322","A320","","","","7:50","","","","33-计划","2017/7/10","9:59","REG","REG","","PAX","","","00"
"3U8865","","","3U8824","昆明-宁波","","NGB","D","B1886","A320","","","","7:20","","","","33-计划","2017/7/10","9:48","REG","REG","","PAX","","","00"
"3U8917","","","3U8667","昆明-厦门","","XMN","D","B1820","A320","","","A","6:25","","","","33-计划","2017/7/10","8:39","REG","REG","","PAX","","","00"
"3U8929","","522L","3U8762","昆明-长沙-沈阳","HHA","SHE","D","B6772","A320","","","","8:05","","","","33-计划","2017/7/10","9:40","REG","REG","","PAX","","","00"
"3U8957","","523L","3U8554","昆明-台北","","TPE","R","B6955","A320","","","","15:20","","","","33-计划","2017/7/10","","REG","REG","","PAX","","","00"
"3U8967","","532","3U8670","昆明-重庆-大连","CKG","DLC","D","B6779","A320","","","","13:10","","","","33-计划","2017/7/10","14:20","REG","REG","","PAX","","","00"
"8L9519","","","8L9915","昆明-芒市","","LUM","D","B6221","A319","","","","11:05","","","","33-计划","2017/7/10","11:55","REG","REG","","PAX","","","00"
"8L9555","","","8L9656","昆明-海口","","HAK","D","B7990","B738","","","","23:40","","","","33-计划","2017/7/10","1:09","REG","REG","","PAX","","","00"
"8L9595","","","8L9598","昆明-吉隆坡","","KUL","I","B7992","B738","","","","8:50","","","","33-计划","2017/7/10","","REG","REG","","PAX","","","00"
"8L9597","","","8L9710","昆明-曼谷","","BKK","I","B6800","B738","","","","18:20","","","","33-计划","2017/7/10","20:13","REG","REG","","PAX","","","00"
"8L9643","","","8L9905","昆明-芒市","","LUM","D","B5272","B737","","","","16:50","","","","33-计划","2017/7/10","17:40","REG","REG","","PAX","","","00"
"8L9647","","168","8L9648","昆明-淮安-天津","HIA","TSN","D","B6943","A320","09","","","7:10","","","","33-计划","2017/7/10","9:50","REG","REG","","PAX","","","00"
"8L9651","","","8L9856","昆明-郑州","","CGO","D","B1586","B738","","","","9:50","","","","33-计划","2017/7/10","12:04","REG","REG","","PAX","","","00"
"8L9655","","","8L9992","昆明-忻州-哈尔滨","WUT","HRB","D","B7990","B738","","","","6:10","","","","33-计划","2017/7/10","8:49","REG","REG","","PAX","","","00"
"8L9677","","","8L9874","昆明-芽庄","","CXR","I","B8445","A320","","","","18:30","","","","33-计划","2017/7/10","20:57","REG","REG","","PAX","","","00"
"8L9801","","","8L9804","昆明-丽江","","LJG","D","B5823","B737","","","","23:55","","","","33-计划","2017/7/10","0:45","REG","REG","","PAX","","","00"
"8L9803","","","8L9913","昆明-丽江","","LJG","D","B5823","B737","","","","7:15","","","","33-计划","2017/7/10","8:06","REG","REG","","PAX","","","00"
"8L9841","","","8L9712","昆明-普洱","","SYM","D","B5292","B737","","","","9:00","","","","33-计划","2017/7/10","9:41","REG","REG","","PAX","","","00"
"8L9849","","","8L9946","昆明-迪庆","","DIG","D","B5825","B737","","","","7:05","","","","33-计划","2017/7/10","8:06","REG","REG","","PAX","","","00"
"8L9851","","543","8L9942","昆明-腾冲","","TCZ","D","B5249","B737","","","","15:55","","","","33-计划","2017/7/10","16:48","REG","REG","","PAX","","","00"
"8L9855","","","8L9976","昆明-绵阳","","MIG","D","B1587","B738","","","","13:45","","","","33-计划","2017/7/10","15:02","REG","REG","","PAX","","","00"
"8L9861","","","8L9876","昆明-合肥","","HFE","D","B6809","B738","","","","7:15","","","","33-计划","2017/7/10","9:24","REG","REG","","PAX","","","00"
"8L9863","","","8L9984","昆明-重庆-徐州","CKG","XUZ","D","B2677","B738","","","","7:00","","","","33-计划","2017/7/10","8:10","REG","REG","","PAX","","","00"
"8L9865","","544","8L9866","昆明-济南","","TNA","D","B5359","B738","","","","7:10","","","","33-计划","2017/7/10","9:49","REG","REG","","PAX","","","00"
"8L9869","","","8L9958","昆明-武汉-青岛","WUH","TAO","D","B8732","A320","","","","14:20","","","","33-计划","2017/7/10","16:10","REG","REG","","PAX","","","00"
"8L9871","","","8L9988","昆明-宜昌-宁波","YIH","NGB","D","B6947","A320","","","","13:50","","","","33-计划","2017/7/10","15:33","REG","REG","","PAX","","","00"
"8L9873","","","8L9676","昆明-赣州-杭州","KOW","HGH","D","B8445","A320","","","","7:00","","","","33-计划","2017/7/10","9:04","REG","REG","","PAX","","","00"
"8L9875","","","8L9948","昆明-厦门","","XMN","D","B5407","B738","","","","17:55","","","","33-计划","2017/7/10","20:13","REG","REG","","PAX","","","00"
"8L9883","","","8L9866","昆明-南京","","NKG","D","B5359","B738","","","","18:00","","","","33-计划","2017/7/10","20:20","REG","REG","","PAX","","","00"
"8L9887","","","8L9986","昆明-宜春-上海","YIC","SHA","D","B8731","A320","","","","8:30","","","","33-计划","2017/7/10","10:22","REG","REG","","PAX","","","00"
"8L9889","","","8L9520","昆明-上海","","PVG","D","B6221","A319","","","","17:00","","","","33-计划","2017/7/10","19:40","REG","REG","","PAX","","","00"
"8L9891","","","8L9556","昆明-武汉-大连","WUH","DLC","D","B7988","B738","","","","9:50","","","","33-计划","2017/7/10","11:41","REG","REG","","PAX","","","00"
"8L9893","","","8L9870","昆明-珠海","","ZUH","D","B6015","B738","","","","7:15","","","","33-计划","2017/7/10","8:58","REG","REG","","PAX","","","00"
"8L9897","","","8L9966","昆明-温州","","WNZ","D","B8446","A320","","","","14:55","","","","33-计划","2017/7/10","17:24","REG","REG","","PAX","","","00"
"8L9904","","","8L9850","昆明-版纳","","JHG","D","B5825","B737","","","","15:10","","","","33-计划","2017/7/10","15:56","REG","REG","","PAX","","","00"
"8L9906","","","8L9644","昆明-版纳","","JHG","D","B5272","B737","","","","23:45","","","","33-计划","2017/7/10","0:32","REG","REG","","PAX","","","00"
"8L9914","","","8L9903","昆明-版纳","","JHG","D","B5825","B737","","","","22:55","","","","33-计划","2017/7/10","23:41","REG","REG","","PAX","","","00"
"8L9916","","","8L9972","昆明-版纳","","JHG","D","B6221","A319","","","","7:00","","","","33-计划","2017/7/10","7:46","REG","REG","","PAX","","","00"
"8L9921","","","8L9802","昆明-沧源","","CWJ","D","B1565","B737","","","","11:05","","","","33-计划","2017/7/10","11:50","REG","REG","","PAX","","","00"
"8L9945","","","8L9980","昆明-成都","","CTU","D","B1565","B737","","","","23:55","","","","33-计划","2017/7/10","0:58","REG","REG","","PAX","","","00"
"8L9947","","","8L9994","昆明-成都","","CTU","D","B5407","B738","","","","10:25","","","","33-计划","2017/7/10","11:28","REG","REG","","PAX","","","00"
"8L9955","","","8L9652","昆明-郑州","","CGO","D","B1798","B738","","","","22:00","","","","33-计划","2017/7/10","0:12","REG","REG","","PAX","","","00"
"8L9957","","","8L9890","昆明-武汉","","WUH","D","B8732","A320","","","","7:10","","","","33-计划","2017/7/10","8:58","REG","REG","","PAX","","","00"
"8L9959","","","8L9892","昆明-安庆-宁波","AQG","NGB","D","B7167","B738","","","","7:25","","","","33-计划","2017/7/10","9:41","REG","REG","","PAX","","","00"
"8L9965","","322","8L9872","昆明-三亚","","SYX","D","B8446","A320","","","","7:15","","","","33-计划","2017/7/10","8:57","REG","REG","","PAX","","","00"
"8L9971","","","8L9996","昆明-海口","","HAK","D","B6198","A319","","","","19:00","","","","33-计划","2017/7/10","20:30","REG","REG","","PAX","","","00"
"8L9973","","","8L9884","昆明-郑州","","CGO","D","B7993","B738","","","","7:05","","","","33-计划","2017/7/10","9:20","REG","REG","","PAX","","","00"
"8L9975","","","8L9960","昆明-广州","","CAN","D","B7167","B738","","","","19:00","","","","33-计划","2017/7/10","20:39","REG","REG","","PAX","","","00"
"8L9979","","","8L9922","昆明-深圳","","SZX","D","B1565","B737","","","","16:20","","","","33-计划","2017/7/10","18:03","REG","REG","","PAX","","","00"
"8L9983","","","8L9648","昆明-西安","","XIY","D","B6943","A320","","","","19:30","","","","33-计划","2017/7/10","21:19","REG","REG","","PAX","","","00"
"8L9985","","","8L9894","昆明-太原-呼和","TYN","HET","D","B6015","B738","","","","15:40","","","","33-计划","2017/7/10","18:04","REG","REG","","PAX","","","00"
"8L9987","","","8L9888","昆明-北京","","PEK","D","B8731","A320","","","","21:30","","","","33-计划","2017/7/10","0:27","REG","REG","","PAX","","","00"
"8L9991","","","8L9584","昆明-兰州-乌鲁","ZGC","URC","D","B6016","B738","","","","12:15","","","","33-计划","2017/7/10","14:10","REG","REG","","PAX","","","00"
"8L9993","","","8L9846","昆明-西安","","XIY","D","B5732","B738","","","","21:55","","","","33-计划","2017/7/10","23:44","REG","REG","","PAX","","","00"
"8L9995","","","8L9690","昆明-银川","","INC","D","B6198","A319","","","","7:25","","","","33-计划","2017/7/10","9:44","REG","REG","","PAX","","","00"
"9C8824","","","9C8823","昆明-遵义-上海","ZYI","SHA","D","B1896","A320","","","","16:35","","","","33-计划","2017/7/10","17:33","REG","REG","","PAX","","","00"
"9C8830","","","9C8829","昆明-常德-上海","CGD","SHA","D","B8872","A320","","","","19:35","","","","33-计划","2017/7/10","21:00","REG","REG","","PAX","","","00"
"9C8938","","","9C8937","昆明-石家庄","","SJW","D","B8581","A320","","","","14:50","","","","33-计划","2017/7/10","17:26","REG","REG","","PAX","","","00"
"9C8954","","","9C8953","昆明-上海","","SHA","D","B8647","A320","","","","12:45","","","","33-计划","2017/7/10","15:27","REG","REG","","PAX","","","00"
"A67105","","","A67106","昆明-南昌","","KHN","D","B8285","A321","","","","18:25","","","","33-计划","2017/7/10","20:18","REG","REG","","PAX","","","00"
"AK100","","","AK101","昆明-吉隆坡","","KUL","I","9MAFF","A320","","","","17:55","","","","33-计划","2017/7/10","","REG","REG","","PAX","","","00"
"BK2715","","","BK2797","昆明-南京","","NKG","D","B6026","B738","","","","10:10","","","","33-计划","2017/7/10","12:32","REG","REG","","PAX","","","00"
"BK2743","","","BK2897","昆明-版纳","","JHG","D","B5562","B738","","","","14:25","","","","33-计划","2017/7/10","15:14","REG","REG","","PAX","","","00"
"BK2798","","","BK2716","昆明-长沙","","HHA","D","B6026","B738","","","","18:10","","","","33-计划","2017/7/10","19:47","REG","REG","","PAX","","","00"
"BK2898","","","BK2744","昆明-天津","","TSN","D","B5562","B738","","","","18:20","","","","33-计划","2017/7/10","21:14","REG","REG","","PAX","","","00"
"CA1402","","","CA1401","昆明-天津","","TSN","D","B1418","B738","","","","20:20","","","","33-计划","2017/7/10","23:12","REG","REG","","PAX","","","00"
"CA1404","","","CA1403","昆明-北京","","PEK","D","B6498","B738","","","","11:40","","","","33-计划","2017/7/10","14:37","REG","REG","","PAX","","","00"
"CA1488","","","CA1487","昆明-达县-北京","DAX","PEK","D","B5228","B737","","","","15:25","","","","33-计划","2017/7/10","16:46","REG","REG","","PAX","","","00"
"CA1752","","","CA1955","昆明-杭州","","HGH","D","B8429","A320","","","","12:20","","","","33-计划","2017/7/10","14:46","REG","REG","","PAX","","","00"
"CA1754","","","CA1753","昆明-杭州","","HGH","D","B6033","A319","","","","19:40","","","","33-计划","2017/7/10","22:02","REG","REG","","PAX","","","00"
"CA1938","","","CA1937","昆明-上海","","PVG","D","B9922","A320","","","","20:25","","","","33-计划","2017/7/10","23:02","REG","REG","","PAX","","","00"
"CA1956","","","CA1751","昆明-温州","","WNZ","D","B6023","A319","","","","12:05","","","","33-计划","2017/7/10","14:33","REG","REG","","PAX","","","00"
"CA1988","","","CA1987","昆明-温州","","WNZ","D","B6677","A320","","","","21:10","","","","33-计划","2017/7/10","23:34","REG","REG","","PAX","","","00"
"CA415","","","CA415","昆明-仰光","","RGN","I","B6038","A319","","","","10:45","","","","33-计划","2017/7/10","","REG","REG","","PAX","","","00"
"CA416","","","CA416","昆明-成都","","CTU","D","B6038","A319","","","","17:05","","","","33-计划","2017/7/10","18:11","REG","REG","","PAX","","","00"
