FLT,RFC,LKF,VIP,REG,VI1,TOF,ITY,TAR,GAT,FSA,POP,SDT,RCP,NAT,FLX,MFF,SST,STD,DES,CID,MP1,ETD,ABT,ATD,EAN,STN
3U8107,昆明-常州-青岛,3U8968,,B6348,CZX,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 14:05,TAO,,,,,,2017/7/11 16:26,2017/7/11 17:10
3U8129,昆明-版纳,3U8130,,B6453,,D,A319,524L,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 9:25,JHG,,,,,,2017/7/11 10:09,2017/7/11 10:30
3U8215,昆明-郑州,3U8918,,B1820,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 14:40,CGO,,,,,,2017/7/11 16:49,2017/7/11 17:25
3U8221,昆明-南宁-福州,3U8723,,B6388,NNG,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 11:55,FOC,,,,,,2017/7/11 12:58,2017/7/11 13:00
3U8227,昆明-南京-长春,3U8661,,B1822,NKG,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 11:20,CGQ,,,,,,2017/7/11 13:37,2017/7/11 14:10
3U8243,昆明-厦门,3U8866,,B1886,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,1,2017/7/11 15:15,XMN,,,,,,2017/7/11 17:29,2017/7/11 18:00
3U8245,昆明-合肥,3U8768,,B1819,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 17:55,HFE,,,,,,2017/7/11 19:58,2017/7/11 20:40
3U8513,昆明-重庆-兰州,,,B8500,CKG,D,A320,539,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 7:15,ZGC,,,,,,2017/7/11 8:22,2017/7/11 8:45
3U8530,昆明-杭州,3U8529,,B6697,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 13:05,HGH,,,,,,2017/7/11 15:29,2017/7/11 15:55
3U8553,昆明-重庆-乌鲁,3U8958,,B6955,CKG,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 8:45,URC,,,,,,2017/7/11 9:53,2017/7/11 10:30
3U8597,昆明-太原-哈尔滨,3U8762,,B6779,TYN,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 7:45,HRB,,,,,,2017/7/11 10:06,2017/7/11 10:45
3U8619,昆明-版纳,3U8818,,B6175,,D,A319,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 21:00,JHG,,,,,,2017/7/11 21:45,2017/7/11 22:05
3U8637,昆明-广州-岘港,3U8206,,B1881,CAN,M,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 17:05,DAD,,,,,,2017/7/11 18:44,2017/7/11 19:15
3U8662,昆明-成都,3U8808,,B6347,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 23:00,CTU,,,,,,2017/7/12 0:04,2017/7/12 0:40
3U8668,昆明-成都,3U8514,,B8500,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 18:20,CTU,,,,,,2017/7/11 19:25,2017/7/11 19:55
3U8669,昆明-成都-石家庄,3U8930,,B6772,CTU,D,A320,155,17,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 7:30,SJW,,,,,,2017/7/11 8:30,2017/7/11 9:05
3U8685,昆明-长沙-哈尔滨,3U8686,,B6810,HHA,D,A321,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 16:00,HRB,,,,,,2017/7/11 17:36,2017/7/11 18:00
3U8709,昆明-万象,3U8848,,B6322,,I,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 8:50,VTE,K06-K08,,,,,2017/7/11 10:03,2017/7/11 10:20
3U8724,昆明-北京,3U8222,,B6388,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 21:50,PEK,,,,,,2017/7/12 0:39,2017/7/12 1:15
3U8761,昆明-无锡,3U8948,,B8329,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 15:10,WUX,,,,,,2017/7/11 17:39,2017/7/11 18:15
3U8767,昆明-南宁-温州,3U8514,,B1819,NNG,D,A320,524R,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 7:00,WNZ,,,,,,2017/7/11 7:59,2017/7/11 8:05
3U8807,昆明-徐州-沈阳,3U8228,,B6347,XUZ,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 7:50,SHE,,,,,,2017/7/11 10:12,2017/7/11 10:50
3U8817,昆明-丽江-拉萨,3U8246,,B6175,LJG,D,A319,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 7:30,LXA,,,,,,2017/7/11 8:19,2017/7/11 8:30
3U8837,昆明-万州-北京,3U8838,,B1821,WXN,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 14:15,PEK,,,,,,2017/7/11 15:42,2017/7/11 15:45
3U8865,昆明-宁波,3U8202,,B1886,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 7:20,NGB,,,,,,2017/7/11 9:48,2017/7/11 10:25
3U8917,昆明-厦门,3U8824,,B1820,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 6:25,XMN,,,,,,2017/7/11 8:39,2017/7/11 9:05
3U8947,昆明-济南,3U8667,,B8329,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 6:55,TNA,,,,,,2017/7/11 9:33,2017/7/11 10:05
3U8967,昆明-重庆-大连,3U8130,,B6453,CKG,D,A319,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 13:10,DLC,,,,,,2017/7/11 14:20,2017/7/11 14:50
8L7088,昆明-海口,,,B2651,,D,B738,,,33-计划,CSF,2017/7/11,,PAX,,HU7088,SF,2017/7/11 10:35,HAK,,,,,,2017/7/11 12:04,2017/7/11 12:30
8L7112,昆明-北京,,,B2491,,D,B763,,,33-计划,CSF,2017/7/11,,PAX,,HU7112,SF,2017/7/11 20:25,PEK,,,,,,2017/7/11 23:16,2017/7/11 23:45
8L7164,昆明-深圳,,,B1541,,D,B738,,,33-计划,CSF,2017/7/11,,PAX,,HU7164,SF,2017/7/11 11:25,SZX,,,,,,2017/7/11 13:06,2017/7/11 13:35
8L9545,昆明-太原-大同,8L9690,,B2677,TYN,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 7:10,DAT,,,,,,2017/7/11 9:33,2017/7/11 10:10
8L9555,昆明-海口,8L9892,,B7990,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 23:40,HAK,,,,,,2017/7/12 1:09,2017/7/12 1:35
8L9557,昆明-锦州-哈尔滨,8L9986,,B6015,JNZ,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 6:10,HRB,,,,,,2017/7/11 9:48,2017/7/11 9:20
8L9585,昆明-南宁-巴厘岛,8L9976,,B7167,NNG,M,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 7:10,DPS,,,,,,2017/7/11 8:15,2017/7/11 8:15
8L9597,昆明-曼谷,8L9874,,B8445,,I,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 17:55,BKK,,,,,,2017/7/11 19:48,2017/7/11 20:40
8L9623,昆明-杭州,8L9905,,B5272,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 10:45,HGH,,,,,,2017/7/11 13:13,2017/7/11 13:40
8L9637,昆明-苏梅岛,8L989Z,,B6221,,I,A319,312,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 12:30,USM,K07-K09,,,,,2017/7/11 14:55,2017/7/11 15:20
8L9647,昆明-淮安-天津,8L9984,,B6943,HIA,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 7:10,TSN,,,,,,2017/7/11 9:50,2017/7/11 10:00
8L9651,昆明-郑州,8L9556,,B7988,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 9:50,CGO,,,,,,2017/7/11 12:04,2017/7/11 12:35
8L9679,昆明-槟城,8L9996,,B7992,,I,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 16:40,PEN,,,,,,2017/7/11 19:38,2017/7/11 19:20
8L9685,昆明-凯里-郑州,8L9913,,B5825,KJH,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 7:00,CGO,,,,,,2017/7/11 8:03,2017/7/11 8:20
